#RfamID	RfamAlias	EMBLAccession	ExpressionRank
RF01118 	 PK-G12rRNA 	 AE017225 	 78
RF00230 	 T-box 	 AE017225 	 4033
RF00230 	 T-box 	 AE017225 	 4034
RF00230 	 T-box 	 AE017225 	 4073
RF01766 	 cspA 	 AE017225 	 4099
RF01820 	 RsaE 	 AE017225 	 4142
RF00005 	 tRNA 	 AE017225 	 4205
RF00230 	 T-box 	 AE017225 	 4240
RF01362 	 CRISPR-DR49 	 AE017225 	 4279
RF00005 	 tRNA 	 AE017225 	 4280
RF00230 	 T-box 	 AE017225 	 4407
RF00230 	 T-box 	 AE017225 	 4441
RF00230 	 T-box 	 AE017225 	 4442
RF00230 	 T-box 	 AE017225 	 4443
RF00515 	 PyrR 	 AE017225 	 4508
RF00230 	 T-box 	 AE017225 	 4710
RF00242 	 ctRNA_pT181 	 AE017225 	 4851
RF00005 	 tRNA 	 AE017225 	 5045
RF00162 	 SAM 	 AE017225 	 5094
RF00230 	 T-box 	 AE017225 	 5246
RF00230 	 T-box 	 AE017225 	 5247
RF00515 	 PyrR 	 AE017225 	 5298
RF00005 	 tRNA 	 AE017225 	 5299
RF01410 	 BsrC 	 AE017225 	 5425
RF00005 	 tRNA 	 AE017225 	 5650
RF01766 	 cspA 	 AE017225 	 5720
RF01705 	 Flavo-1 	 AE017225 	 5721
RF00230 	 T-box 	 AE017225 	 5945
RF00515 	 PyrR 	 AE017225 	 6003
RF00162 	 SAM 	 AE017225 	 6084
RF00168 	 Lysine 	 AE017225 	 6154
RF00230 	 T-box 	 AE017225 	 6155
RF00230 	 T-box 	 AE017225 	 6156
RF00005 	 tRNA 	 AE017225 	 6157
RF01725 	 SAM-I-IV-variant 	 AE017225 	 6310
RF00059 	 TPP 	 AE017225 	 6311
RF00230 	 T-box 	 AE017225 	 6312
RF00005 	 tRNA 	 AE017225 	 6313
RF00162 	 SAM 	 AE017225 	 6473
RF00005 	 tRNA 	 AE017225 	 6474
RF00238 	 ctRNA_pND324 	 AE017225 	 6544
RF00230 	 T-box 	 AE017225 	 6617
RF00230 	 T-box 	 AE017225 	 6618
RF00162 	 SAM 	 AE017225 	 6619
RF00005 	 tRNA 	 AE017225 	 6696
RF00005 	 tRNA 	 AE017225 	 6878
RF00230 	 T-box 	 AE017225 	 6982
RF00005 	 tRNA 	 AE017225 	 6983
RF00005 	 tRNA 	 AE017225 	 6984
RF00005 	 tRNA 	 AE017225 	 7058
RF00005 	 tRNA 	 AE017225 	 7160
RF00005 	 tRNA 	 AE017225 	 7161
RF00230 	 T-box 	 AE017225 	 7374
RF00167 	 Purine 	 AE017225 	 7375
RF00059 	 TPP 	 AE017225 	 7376
RF00230 	 T-box 	 AE017225 	 7490
RF00162 	 SAM 	 AE017225 	 7491
RF00001 	 5S_rRNA 	 AE017225 	 7595
RF00380 	 ykoK 	 AE017225 	 7596
RF00005 	 tRNA 	 AE017225 	 7597
RF00005 	 tRNA 	 AE017225 	 7598
RF00230 	 T-box 	 AE017225 	 7742
RF00230 	 T-box 	 AE017225 	 7743
RF00230 	 T-box 	 AE017225 	 7892
RF00512 	 Leu_leader 	 AE017225 	 7893
RF00522 	 PreQ1 	 AE017225 	 8043
RF00059 	 TPP 	 AE017225 	 8044
RF00005 	 tRNA 	 AE017225 	 8045
RF01725 	 SAM-I-IV-variant 	 AE017225 	 8207
RF00162 	 SAM 	 AE017225 	 8208
RF00005 	 tRNA 	 AE017225 	 8209
RF00005 	 tRNA 	 AE017225 	 8210
RF00005 	 tRNA 	 AE017225 	 8211
RF00005 	 tRNA 	 AE017225 	 8391
RF00005 	 tRNA 	 AE017225 	 8392
RF00504 	 Glycine 	 AE017225 	 8561
RF00059 	 TPP 	 AE017225 	 8562
RF00005 	 tRNA 	 AE017225 	 8563
RF00230 	 T-box 	 AE017225 	 8564
RF00230 	 T-box 	 AE017225 	 8742
RF00005 	 tRNA 	 AE017225 	 8932
RF00005 	 tRNA 	 AE017225 	 8933
RF00230 	 T-box 	 AE017225 	 8934
RF00516 	 ylbH 	 AE017225 	 9163
RF00167 	 Purine 	 AE017225 	 9377
RF00005 	 tRNA 	 AE017225 	 9378
RF00005 	 tRNA 	 AE017225 	 9379
RF00005 	 tRNA 	 AE017225 	 9594
RF00005 	 tRNA 	 AE017225 	 9595
RF00005 	 tRNA 	 AE017225 	 9829
RF01764 	 yjdF 	 AE017225 	 10084
RF00230 	 T-box 	 AE017225 	 10373
RF00005 	 tRNA 	 AE017225 	 10374
RF00005 	 tRNA 	 AE017225 	 10375
RF00001 	 5S_rRNA 	 AE017225 	 10376
RF00005 	 tRNA 	 AE017225 	 10687
RF00515 	 PyrR 	 AE017225 	 10688
RF01730 	 Termite-leu 	 AE017225 	 10689
RF00001 	 5S_rRNA 	 AE017225 	 10690
RF00005 	 tRNA 	 AE017225 	 10691
RF00005 	 tRNA 	 AE017225 	 10692
RF00005 	 tRNA 	 AE017225 	 11004
RF00005 	 tRNA 	 AE017225 	 11005
RF00005 	 tRNA 	 AE017225 	 11006
RF00005 	 tRNA 	 AE017225 	 11007
RF00005 	 tRNA 	 AE017225 	 11008
RF00162 	 SAM 	 AE017225 	 11391
RF00162 	 SAM 	 AE017225 	 11392
RF00005 	 tRNA 	 AE017225 	 11393
RF00388 	 Anti-Q_RNA 	 AE017225 	 11767
RF00028 	 Intron_gpI 	 AE017225 	 11768
RF00230 	 T-box 	 AE017225 	 11769
RF00005 	 tRNA 	 AE017225 	 11770
RF00162 	 SAM 	 AE017225 	 11771
RF00230 	 T-box 	 AE017225 	 12242
RF00230 	 T-box 	 AE017225 	 12243
RF00162 	 SAM 	 AE017225 	 12244
RF00238 	 ctRNA_pND324 	 AE017225 	 12245
RF00005 	 tRNA 	 AE017225 	 12754
RF00230 	 T-box 	 AE017225 	 12755
RF00001 	 5S_rRNA 	 AE017225 	 12756
RF00005 	 tRNA 	 AE017225 	 12757
RF00005 	 tRNA 	 AE017225 	 12758
RF00005 	 tRNA 	 AE017225 	 13341
RF01363 	 CRISPR-DR50 	 AE017225 	 13342
RF00001 	 5S_rRNA 	 AE017225 	 13343
RF00001 	 5S_rRNA 	 AE017225 	 13344
RF01730 	 Termite-leu 	 AE017225 	 13345
RF00005 	 tRNA 	 AE017225 	 13346
RF00005 	 tRNA 	 AE017225 	 13347
RF00005 	 tRNA 	 AE017225 	 13348
RF01705 	 Flavo-1 	 AE017225 	 13349
RF00001 	 5S_rRNA 	 AE017225 	 13350
RF00005 	 tRNA 	 AE017225 	 13351
RF00005 	 tRNA 	 AE017225 	 13352
RF00001 	 5S_rRNA 	 AE017225 	 13353
RF00001 	 5S_rRNA 	 AE017225 	 14029
RF00005 	 tRNA 	 AE017225 	 14030
RF00005 	 tRNA 	 AE017225 	 14031
RF00238 	 ctRNA_pND324 	 AE017225 	 14032
RF00005 	 tRNA 	 AE017225 	 14033
RF00379 	 ydaO-yuaA 	 AE017225 	 14034
RF00230 	 T-box 	 AE017225 	 14829
RF00005 	 tRNA 	 AE017225 	 14830
RF00001 	 5S_rRNA 	 AE017225 	 14831
RF00238 	 ctRNA_pND324 	 AE017225 	 14832
RF00238 	 ctRNA_pND324 	 AE017225 	 14833
RF00005 	 tRNA 	 AE017225 	 14834
RF00005 	 tRNA 	 AE017225 	 14835
RF00238 	 ctRNA_pND324 	 AE017225 	 14836
RF00001 	 5S_rRNA 	 AE017225 	 15738
RF00162 	 SAM 	 AE017225 	 15739
RF00005 	 tRNA 	 AE017225 	 15740
RF00005 	 tRNA 	 AE017225 	 16905
RF01365 	 CRISPR-DR52 	 AE017225 	 16906
RF00005 	 tRNA 	 AE017225 	 16907
RF00005 	 tRNA 	 AE017225 	 16908
RF00005 	 tRNA 	 AE017225 	 16909
RF00005 	 tRNA 	 AE017225 	 16910
RF00005 	 tRNA 	 AE017225 	 16911
RF00238 	 ctRNA_pND324 	 AE017225 	 16912
RF00238 	 ctRNA_pND324 	 AE017225 	 16913
RF00005 	 tRNA 	 AE017225 	 16914
RF00238 	 ctRNA_pND324 	 AE017225 	 16915
RF00005 	 tRNA 	 AE017225 	 16916
RF00005 	 tRNA 	 AE017225 	 16917
RF00005 	 tRNA 	 AE017225 	 16918
RF00080 	 yybP-ykoY 	 AE017225 	 16919
RF00005 	 tRNA 	 AE017225 	 18216
RF01410 	 BsrC 	 AE017225 	 18217
RF00005 	 tRNA 	 AE017225 	 18218
RF00005 	 tRNA 	 AE017225 	 18219
RF00005 	 tRNA 	 AE017225 	 18220
RF00162 	 SAM 	 AE017225 	 18221
RF01362 	 CRISPR-DR49 	 AE017225 	 18222
RF00005 	 tRNA 	 AE017225 	 18223
RF01470 	 rli38 	 AE017225 	 18224
RF00005 	 tRNA 	 AE017225 	 18225
RF00005 	 tRNA 	 AE017225 	 18226
RF00005 	 tRNA 	 AE017225 	 18227
RF00005 	 tRNA 	 AE017225 	 18228
RF00005 	 tRNA 	 AE017225 	 18229
RF00005 	 tRNA 	 AE017225 	 18230
RF00522 	 PreQ1 	 AE017225 	 19719
RF00632 	 sxy 	 AE017225 	 19720
RF01527 	 CC3510 	 AE017225 	 19721
RF00238 	 ctRNA_pND324 	 AE017225 	 19722
RF00238 	 ctRNA_pND324 	 AE017225 	 19723
RF00230 	 T-box 	 AE017225 	 19724
RF00005 	 tRNA 	 AE017225 	 19725
RF00005 	 tRNA 	 AE017225 	 19726
RF00005 	 tRNA 	 AE017225 	 19727
RF00005 	 tRNA 	 AE017225 	 19728
RF00059 	 TPP 	 AE017225 	 19729
RF00238 	 ctRNA_pND324 	 AE017225 	 21044
RF01363 	 CRISPR-DR50 	 AE017225 	 21045
RF00238 	 ctRNA_pND324 	 AE017225 	 21046
RF00005 	 tRNA 	 AE017225 	 21047
RF01470 	 rli38 	 AE017225 	 21048
RF01734 	 crcB 	 AE017225 	 21049
RF00005 	 tRNA 	 AE017225 	 21050
RF00242 	 ctRNA_pT181 	 AE017225 	 21051
RF00515 	 PyrR 	 AE017225 	 21052
RF00515 	 PyrR 	 AE017225 	 21053
RF00002 	 5_8S_rRNA 	 AE017194 	 52
RF00002 	 5_8S_rRNA 	 AE017194 	 59
RF00002 	 5_8S_rRNA 	 AE017194 	 61
RF00002 	 5_8S_rRNA 	 AE017194 	 64
RF00002 	 5_8S_rRNA 	 AE017194 	 65
RF00002 	 5_8S_rRNA 	 AE017194 	 66
RF00002 	 5_8S_rRNA 	 AE017194 	 67
RF00002 	 5_8S_rRNA 	 AE017194 	 68
RF00002 	 5_8S_rRNA 	 AE017194 	 69
RF00002 	 5_8S_rRNA 	 AE017194 	 70
RF00011 	 RNaseP_bact_b 	 AE017194 	 94
RF00010 	 RNaseP_bact_a 	 AE017194 	 95
RF00177 	 SSU_rRNA_bacteria 	 AE017194 	 102
RF00177 	 SSU_rRNA_bacteria 	 AE017194 	 121
RF00177 	 SSU_rRNA_bacteria 	 AE017194 	 122
RF00177 	 SSU_rRNA_bacteria 	 AE017194 	 123
RF00177 	 SSU_rRNA_bacteria 	 AE017194 	 124
RF00177 	 SSU_rRNA_bacteria 	 AE017194 	 125
RF00177 	 SSU_rRNA_bacteria 	 AE017194 	 127
RF00177 	 SSU_rRNA_bacteria 	 AE017194 	 129
RF00177 	 SSU_rRNA_bacteria 	 AE017194 	 130
RF00177 	 SSU_rRNA_bacteria 	 AE017194 	 131
RF00177 	 SSU_rRNA_bacteria 	 AE017194 	 133
RF00177 	 SSU_rRNA_bacteria 	 AE017194 	 135
RF00023 	 tmRNA 	 AE017194 	 138
RF00002 	 5_8S_rRNA 	 AE017194 	 218
RF00001 	 5S_rRNA 	 AE017194 	 239
RF00001 	 5S_rRNA 	 AE017194 	 280
RF00001 	 5S_rRNA 	 AE017194 	 283
RF00001 	 5S_rRNA 	 AE017194 	 287
RF00001 	 5S_rRNA 	 AE017194 	 289
RF00001 	 5S_rRNA 	 AE017194 	 291
RF00001 	 5S_rRNA 	 AE017194 	 292
RF00001 	 5S_rRNA 	 AE017194 	 294
RF00169 	 Bacteria_small_SRP 	 AE017194 	 295
RF00001 	 5S_rRNA 	 AE017194 	 301
RF00001 	 5S_rRNA 	 AE017194 	 304
RF00001 	 5S_rRNA 	 AE017194 	 308
RF00001 	 5S_rRNA 	 AE017194 	 309
RF01118 	 PK-G12rRNA 	 AE017194 	 318
RF01766 	 cspA 	 AE017194 	 319
RF00013 	 6S 	 AE017194 	 321
RF00559 	 L21_leader 	 AE017194 	 335
RF01118 	 PK-G12rRNA 	 AE017194 	 338
RF01118 	 PK-G12rRNA 	 AE017194 	 339
RF01118 	 PK-G12rRNA 	 AE017194 	 340
RF01118 	 PK-G12rRNA 	 AE017194 	 345
RF01118 	 PK-G12rRNA 	 AE017194 	 348
RF01118 	 PK-G12rRNA 	 AE017194 	 350
RF01118 	 PK-G12rRNA 	 AE017194 	 355
RF01118 	 PK-G12rRNA 	 AE017194 	 356
RF01118 	 PK-G12rRNA 	 AE017194 	 357
RF01118 	 PK-G12rRNA 	 AE017194 	 361
RF01854 	 Bacteria_large_SRP 	 AE017194 	 363
RF01118 	 PK-G12rRNA 	 AE017194 	 364
RF00013 	 6S 	 AE017194 	 404
RF00558 	 L20_leader 	 AE017194 	 440
RF01766 	 cspA 	 AE017194 	 465
RF00230 	 T-box 	 AE017194 	 475
RF00555 	 L13_leader 	 AE017194 	 493
RF00557 	 L10_leader 	 AE017194 	 498
RF01051 	 c-di-GMP-I 	 AE017194 	 619
RF01820 	 RsaE 	 AE017194 	 647
RF00556 	 L19_leader 	 AE017194 	 709
RF00230 	 T-box 	 AE017194 	 718
RF00162 	 SAM 	 AE017194 	 754
RF00230 	 T-box 	 AE017194 	 811
RF00504 	 Glycine 	 AE017194 	 881
RF00005 	 tRNA 	 AE017194 	 886
RF01766 	 cspA 	 AE017194 	 904
RF00005 	 tRNA 	 AE017194 	 911
RF00230 	 T-box 	 AE017194 	 932
RF00005 	 tRNA 	 AE017194 	 938
RF00005 	 tRNA 	 AE017194 	 1019
RF00005 	 tRNA 	 AE017194 	 1032
RF00005 	 tRNA 	 AE017194 	 1047
RF00005 	 tRNA 	 AE017194 	 1087
RF00005 	 tRNA 	 AE017194 	 1105
RF01730 	 Termite-leu 	 AE017194 	 1153
RF00005 	 tRNA 	 AE017194 	 1307
RF01411 	 BsrF 	 AE017194 	 1362
RF00005 	 tRNA 	 AE017194 	 1424
RF00005 	 tRNA 	 AE017194 	 1425
RF00005 	 tRNA 	 AE017194 	 1426
RF00050 	 FMN 	 AE017194 	 1534
RF00005 	 tRNA 	 AE017194 	 1535
RF00005 	 tRNA 	 AE017194 	 1536
RF00005 	 tRNA 	 AE017194 	 1634
RF00005 	 tRNA 	 AE017194 	 1635
RF00230 	 T-box 	 AE017194 	 1636
RF00230 	 T-box 	 AE017194 	 1637
RF00005 	 tRNA 	 AE017194 	 1638
RF00242 	 ctRNA_pT181 	 AE017194 	 1639
RF00005 	 tRNA 	 AE017194 	 1685
RF00005 	 tRNA 	 AE017194 	 1686
RF00005 	 tRNA 	 AE017194 	 1754
RF00005 	 tRNA 	 AE017194 	 1755
RF00379 	 ydaO-yuaA 	 AE017194 	 1824
RF00005 	 tRNA 	 AE017194 	 1825
RF00005 	 tRNA 	 AE017194 	 1826
RF00005 	 tRNA 	 AE017194 	 1914
RF00230 	 T-box 	 AE017194 	 1915
RF00005 	 tRNA 	 AE017194 	 1916
RF00005 	 tRNA 	 AE017194 	 1917
RF00005 	 tRNA 	 AE017194 	 2010
RF00005 	 tRNA 	 AE017194 	 2011
RF02004 	 group-II-D1D4-5 	 AE017194 	 2012
RF00005 	 tRNA 	 AE017194 	 2013
RF00162 	 SAM 	 AE017194 	 2113
RF00005 	 tRNA 	 AE017194 	 2114
RF00167 	 Purine 	 AE017194 	 2115
RF00380 	 ykoK 	 AE017194 	 2116
RF02004 	 group-II-D1D4-5 	 AE017194 	 2274
RF00230 	 T-box 	 AE017194 	 2275
RF00005 	 tRNA 	 AE017194 	 2276
RF00005 	 tRNA 	 AE017194 	 2277
RF00005 	 tRNA 	 AE017194 	 2415
RF00005 	 tRNA 	 AE017194 	 2416
RF00005 	 tRNA 	 AE017194 	 2417
RF00005 	 tRNA 	 AE017194 	 2418
RF01764 	 yjdF 	 AE017194 	 2576
RF00230 	 T-box 	 AE017194 	 2577
RF00005 	 tRNA 	 AE017194 	 2578
RF00230 	 T-box 	 AE017194 	 2793
RF01343 	 CRISPR-DR33 	 AE017194 	 2794
RF00230 	 T-box 	 AE017194 	 3035
RF01766 	 cspA 	 AE017194 	 3036
RF00029 	 Intron_gpII 	 AE017194 	 3037
RF00230 	 T-box 	 AE017194 	 3038
RF00005 	 tRNA 	 AE017194 	 3039
RF00005 	 tRNA 	 AE017194 	 3040
RF00234 	 glmS 	 AE017194 	 3399
RF00230 	 T-box 	 AE017194 	 3400
RF00005 	 tRNA 	 AE017194 	 3401
RF00005 	 tRNA 	 AE017194 	 3402
RF00230 	 T-box 	 AE017194 	 3403
RF00005 	 tRNA 	 AE017194 	 3404
RF00005 	 tRNA 	 AE017194 	 3405
RF00230 	 T-box 	 AE017194 	 3406
RF00005 	 tRNA 	 AE017194 	 3407
RF00005 	 tRNA 	 AE017194 	 3408
RF00005 	 tRNA 	 AE017194 	 3409
RF00005 	 tRNA 	 AE017194 	 3410
RF00168 	 Lysine 	 AE017194 	 3411
RF00162 	 SAM 	 AE017194 	 3864
RF00005 	 tRNA 	 AE017194 	 3865
RF00029 	 Intron_gpII 	 AE017194 	 3866
RF00230 	 T-box 	 AE017194 	 3867
RF00005 	 tRNA 	 AE017194 	 3868
RF00005 	 tRNA 	 AE017194 	 3869
RF00005 	 tRNA 	 AE017194 	 3870
RF00005 	 tRNA 	 AE017194 	 3871
RF00230 	 T-box 	 AE017194 	 3872
RF00059 	 TPP 	 AE017194 	 3873
RF00005 	 tRNA 	 AE017194 	 3874
RF00005 	 tRNA 	 AE017194 	 3875
RF00005 	 tRNA 	 AE017194 	 3876
RF00005 	 tRNA 	 AE017194 	 3877
RF00005 	 tRNA 	 AE017194 	 3878
RF00388 	 Anti-Q_RNA 	 AE017194 	 3879
RF01410 	 BsrC 	 AE017194 	 4620
RF00380 	 ykoK 	 AE017194 	 4621
RF00230 	 T-box 	 AE017194 	 4622
RF00230 	 T-box 	 AE017194 	 4623
RF00005 	 tRNA 	 AE017194 	 4624
RF00005 	 tRNA 	 AE017194 	 4625
RF00005 	 tRNA 	 AE017194 	 4626
RF00005 	 tRNA 	 AE017194 	 4627
RF00230 	 T-box 	 AE017194 	 4628
RF00230 	 T-box 	 AE017194 	 4629
RF00167 	 Purine 	 AE017194 	 4630
RF00174 	 Cobalamin 	 AE017194 	 4631
RF00238 	 ctRNA_pND324 	 AE017194 	 4632
RF00230 	 T-box 	 AE017194 	 4633
RF00005 	 tRNA 	 AE017194 	 4634
RF00005 	 tRNA 	 AE017194 	 4635
RF00107 	 FinP 	 AE017194 	 4636
RF00005 	 tRNA 	 AE017194 	 4637
RF00005 	 tRNA 	 AE017194 	 4638
RF00005 	 tRNA 	 AE017194 	 4639
RF00005 	 tRNA 	 AE017194 	 4640
RF00005 	 tRNA 	 AE017194 	 4641
RF00379 	 ydaO-yuaA 	 AE017194 	 4642
RF01766 	 cspA 	 AE017194 	 6410
RF00230 	 T-box 	 AE017194 	 6411
RF00230 	 T-box 	 AE017194 	 6412
RF00080 	 yybP-ykoY 	 AE017194 	 6413
RF00522 	 PreQ1 	 AE017194 	 6414
RF00238 	 ctRNA_pND324 	 AE017194 	 6415
RF00005 	 tRNA 	 AE017194 	 6416
RF00005 	 tRNA 	 AE017194 	 6417
RF00168 	 Lysine 	 AE017194 	 6418
RF01725 	 SAM-I-IV-variant 	 AE017194 	 6419
RF00162 	 SAM 	 AE017194 	 6420
RF00230 	 T-box 	 AE017194 	 6421
RF00230 	 T-box 	 AE017194 	 6422
RF00230 	 T-box 	 AE017194 	 6423
RF00005 	 tRNA 	 AE017194 	 6424
RF00005 	 tRNA 	 AE017194 	 6425
RF00167 	 Purine 	 AE017194 	 6426
RF00029 	 Intron_gpII 	 AE017194 	 6427
RF00515 	 PyrR 	 AE017194 	 6428
RF00230 	 T-box 	 AE017194 	 6429
RF00005 	 tRNA 	 AE017194 	 6430
RF00005 	 tRNA 	 AE017194 	 6431
RF00005 	 tRNA 	 AE017194 	 6432
RF00005 	 tRNA 	 AE017194 	 6433
RF00005 	 tRNA 	 AE017194 	 6434
RF00238 	 ctRNA_pND324 	 AE017194 	 6435
RF00238 	 ctRNA_pND324 	 AE017194 	 6436
RF01734 	 crcB 	 AE017194 	 6437
RF00059 	 TPP 	 AE017194 	 6438
RF01735 	 epsC 	 AE017194 	 6439
RF00005 	 tRNA 	 AE017194 	 6440
RF00005 	 tRNA 	 AE017194 	 6441
RF00005 	 tRNA 	 AE017194 	 6442
RF00005 	 tRNA 	 AE017194 	 6443
RF00005 	 tRNA 	 AE017194 	 6444
RF00005 	 tRNA 	 AE017194 	 6445
RF00059 	 TPP 	 AE017194 	 6446
RF00238 	 ctRNA_pND324 	 AE017194 	 6447
RF01764 	 yjdF 	 AE017194 	 21240
RF00005 	 tRNA 	 AE017194 	 21241
RF00238 	 ctRNA_pND324 	 AE017194 	 21242
RF00005 	 tRNA 	 AE017194 	 21243
RF00028 	 Intron_gpI 	 AE017194 	 21244
RF01730 	 Termite-leu 	 AE017194 	 21245
RF00230 	 T-box 	 AE017194 	 21246
RF00005 	 tRNA 	 AE017194 	 21247
RF00005 	 tRNA 	 AE017194 	 21248
RF00005 	 tRNA 	 AE017194 	 21249
RF00230 	 T-box 	 AE017194 	 21250
RF00162 	 SAM 	 AE017194 	 21251
RF00238 	 ctRNA_pND324 	 AE017194 	 21252
RF00050 	 FMN 	 AE017194 	 21253
RF01749 	 pan 	 AE017194 	 21254
RF00167 	 Purine 	 AE017194 	 21255
RF00522 	 PreQ1 	 AE017194 	 21256
RF00238 	 ctRNA_pND324 	 AE017194 	 21257
RF00168 	 Lysine 	 AE017194 	 21258
RF00230 	 T-box 	 AE017194 	 21259
RF00515 	 PyrR 	 AE017194 	 21260
RF00230 	 T-box 	 AE017194 	 21261
RF00230 	 T-box 	 AE017194 	 21262
RF00230 	 T-box 	 AE017194 	 21263
RF00230 	 T-box 	 AE017194 	 21264
RF00162 	 SAM 	 AE017194 	 21265
RF00238 	 ctRNA_pND324 	 AE017194 	 21266
RF00162 	 SAM 	 AE017194 	 21267
RF00230 	 T-box 	 AE017194 	 21268
RF00230 	 T-box 	 AE017194 	 21269
RF00230 	 T-box 	 AE017194 	 21270
RF00230 	 T-box 	 AE017194 	 21271
RF00506 	 Thr_leader 	 AE017194 	 21272
