#RfamID	RfamAlias	EMBLAccession	ExpressionRank
RF01118 	 PK-G12rRNA 	 AE017225 	 14
RF01118 	 PK-G12rRNA 	 AE017225 	 15
RF00559 	 L21_leader 	 AE017225 	 18
RF00023 	 tmRNA 	 AE017225 	 22
RF01118 	 PK-G12rRNA 	 AE017225 	 33
RF01118 	 PK-G12rRNA 	 AE017225 	 34
RF01118 	 PK-G12rRNA 	 AE017225 	 35
RF01118 	 PK-G12rRNA 	 AE017225 	 36
RF01118 	 PK-G12rRNA 	 AE017225 	 37
RF01118 	 PK-G12rRNA 	 AE017225 	 38
RF01118 	 PK-G12rRNA 	 AE017225 	 40
RF01118 	 PK-G12rRNA 	 AE017225 	 41
RF01118 	 PK-G12rRNA 	 AE017225 	 42
RF00557 	 L10_leader 	 AE017225 	 46
RF00011 	 RNaseP_bact_b 	 AE017225 	 53
RF00010 	 RNaseP_bact_a 	 AE017225 	 54
RF01766 	 cspA 	 AE017225 	 56
RF00013 	 6S 	 AE017225 	 82
RF00555 	 L13_leader 	 AE017225 	 84
RF00558 	 L20_leader 	 AE017225 	 88
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 96
RF00002 	 5_8S_rRNA 	 AE017225 	 114
RF00230 	 T-box 	 AE017225 	 128
RF00162 	 SAM 	 AE017225 	 142
RF00167 	 Purine 	 AE017225 	 145
RF00515 	 PyrR 	 AE017225 	 149
RF00556 	 L19_leader 	 AE017225 	 162
RF00002 	 5_8S_rRNA 	 AE017225 	 163
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 166
RF00002 	 5_8S_rRNA 	 AE017225 	 167
RF00002 	 5_8S_rRNA 	 AE017225 	 168
RF00002 	 5_8S_rRNA 	 AE017225 	 172
RF00002 	 5_8S_rRNA 	 AE017225 	 175
RF00002 	 5_8S_rRNA 	 AE017225 	 176
RF00002 	 5_8S_rRNA 	 AE017225 	 177
RF00002 	 5_8S_rRNA 	 AE017225 	 178
RF00002 	 5_8S_rRNA 	 AE017225 	 180
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 181
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 184
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 185
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 186
RF00002 	 5_8S_rRNA 	 AE017225 	 187
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 189
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 191
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 192
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 194
RF00177 	 SSU_rRNA_bacteria 	 AE017225 	 198
RF00005 	 tRNA 	 AE017225 	 201
RF00013 	 6S 	 AE017225 	 218
RF00167 	 Purine 	 AE017225 	 219
RF00005 	 tRNA 	 AE017225 	 247
RF01766 	 cspA 	 AE017225 	 254
RF00162 	 SAM 	 AE017225 	 271
RF00379 	 ydaO-yuaA 	 AE017225 	 283
RF00059 	 TPP 	 AE017225 	 311
RF00169 	 Bacteria_small_SRP 	 AE017225 	 312
RF00050 	 FMN 	 AE017225 	 326
RF00162 	 SAM 	 AE017225 	 352
RF00167 	 Purine 	 AE017225 	 397
RF00005 	 tRNA 	 AE017225 	 399
RF01766 	 cspA 	 AE017225 	 411
RF00379 	 ydaO-yuaA 	 AE017225 	 430
RF01854 	 Bacteria_large_SRP 	 AE017225 	 458
RF00230 	 T-box 	 AE017225 	 468
RF01067 	 ATPC 	 AE017225 	 483
RF01051 	 c-di-GMP-I 	 AE017225 	 505
RF00050 	 FMN 	 AE017225 	 522
RF00230 	 T-box 	 AE017225 	 544
RF00230 	 T-box 	 AE017225 	 549
RF00230 	 T-box 	 AE017225 	 556
RF00059 	 TPP 	 AE017225 	 580
RF00230 	 T-box 	 AE017225 	 618
RF00379 	 ydaO-yuaA 	 AE017225 	 632
RF00174 	 Cobalamin 	 AE017225 	 633
RF01411 	 BsrF 	 AE017225 	 654
RF00168 	 Lysine 	 AE017225 	 659
RF00162 	 SAM 	 AE017225 	 660
RF00230 	 T-box 	 AE017225 	 667
RF00167 	 Purine 	 AE017225 	 671
RF00162 	 SAM 	 AE017225 	 707
RF00230 	 T-box 	 AE017225 	 721
RF00005 	 tRNA 	 AE017225 	 746
RF00230 	 T-box 	 AE017225 	 774
RF00005 	 tRNA 	 AE017225 	 777
RF00005 	 tRNA 	 AE017225 	 781
RF01730 	 Termite-leu 	 AE017225 	 825
RF00168 	 Lysine 	 AE017225 	 857
RF00230 	 T-box 	 AE017225 	 862
RF00168 	 Lysine 	 AE017225 	 868
RF00005 	 tRNA 	 AE017225 	 906
RF01749 	 pan 	 AE017225 	 921
RF00234 	 glmS 	 AE017225 	 936
RF00005 	 tRNA 	 AE017225 	 952
RF00230 	 T-box 	 AE017225 	 991
RF00005 	 tRNA 	 AE017225 	 996
RF00230 	 T-box 	 AE017225 	 1007
RF00230 	 T-box 	 AE017225 	 1015
RF00080 	 yybP-ykoY 	 AE017225 	 1029
RF00005 	 tRNA 	 AE017225 	 1030
RF00230 	 T-box 	 AE017225 	 1038
RF00230 	 T-box 	 AE017225 	 1039
RF00230 	 T-box 	 AE017225 	 1046
RF01766 	 cspA 	 AE017225 	 1054
RF01820 	 RsaE 	 AE017225 	 1065
RF00005 	 tRNA 	 AE017225 	 1076
RF00230 	 T-box 	 AE017225 	 1088
RF01362 	 CRISPR-DR49 	 AE017225 	 1097
RF00005 	 tRNA 	 AE017225 	 1098
RF00230 	 T-box 	 AE017225 	 1132
RF00230 	 T-box 	 AE017225 	 1142
RF00230 	 T-box 	 AE017225 	 1143
RF00230 	 T-box 	 AE017225 	 1144
RF00515 	 PyrR 	 AE017225 	 1173
RF00230 	 T-box 	 AE017225 	 1238
RF00242 	 ctRNA_pT181 	 AE017225 	 1267
RF00005 	 tRNA 	 AE017225 	 1321
RF00162 	 SAM 	 AE017225 	 1337
RF00230 	 T-box 	 AE017225 	 1374
RF00230 	 T-box 	 AE017225 	 1375
RF00515 	 PyrR 	 AE017225 	 1395
RF00005 	 tRNA 	 AE017225 	 1396
RF01410 	 BsrC 	 AE017225 	 1428
RF00005 	 tRNA 	 AE017225 	 1497
RF01766 	 cspA 	 AE017225 	 1511
RF01705 	 Flavo-1 	 AE017225 	 1512
RF00230 	 T-box 	 AE017225 	 1568
RF00515 	 PyrR 	 AE017225 	 1585
RF00162 	 SAM 	 AE017225 	 1600
RF00168 	 Lysine 	 AE017225 	 1618
RF00230 	 T-box 	 AE017225 	 1619
RF00230 	 T-box 	 AE017225 	 1620
RF00005 	 tRNA 	 AE017225 	 1621
RF01725 	 SAM-I-IV-variant 	 AE017225 	 1648
RF00059 	 TPP 	 AE017225 	 1649
RF00230 	 T-box 	 AE017225 	 1650
RF00005 	 tRNA 	 AE017225 	 1651
RF00162 	 SAM 	 AE017225 	 1696
RF00005 	 tRNA 	 AE017225 	 1697
RF00238 	 ctRNA_pND324 	 AE017225 	 1719
RF00230 	 T-box 	 AE017225 	 1747
RF00230 	 T-box 	 AE017225 	 1748
RF00162 	 SAM 	 AE017225 	 1749
RF00005 	 tRNA 	 AE017225 	 1769
RF00005 	 tRNA 	 AE017225 	 1818
RF00230 	 T-box 	 AE017225 	 1841
RF00005 	 tRNA 	 AE017225 	 1842
RF00005 	 tRNA 	 AE017225 	 1843
RF00005 	 tRNA 	 AE017225 	 1870
RF00005 	 tRNA 	 AE017225 	 1892
RF00005 	 tRNA 	 AE017225 	 1893
RF00230 	 T-box 	 AE017225 	 1951
RF00167 	 Purine 	 AE017225 	 1952
RF00059 	 TPP 	 AE017225 	 1953
RF00230 	 T-box 	 AE017225 	 1980
RF00162 	 SAM 	 AE017225 	 1981
RF00001 	 5S_rRNA 	 AE017225 	 2026
RF00380 	 ykoK 	 AE017225 	 2027
RF00005 	 tRNA 	 AE017225 	 2028
RF00005 	 tRNA 	 AE017225 	 2029
RF00230 	 T-box 	 AE017225 	 2057
RF00230 	 T-box 	 AE017225 	 2058
RF00230 	 T-box 	 AE017225 	 2085
RF00512 	 Leu_leader 	 AE017225 	 2086
RF00522 	 PreQ1 	 AE017225 	 2126
RF00059 	 TPP 	 AE017225 	 2127
RF00005 	 tRNA 	 AE017225 	 2128
RF01725 	 SAM-I-IV-variant 	 AE017225 	 2163
RF00162 	 SAM 	 AE017225 	 2164
RF00005 	 tRNA 	 AE017225 	 2165
RF00005 	 tRNA 	 AE017225 	 2166
RF00005 	 tRNA 	 AE017225 	 2167
RF00005 	 tRNA 	 AE017225 	 2220
RF00005 	 tRNA 	 AE017225 	 2221
RF00504 	 Glycine 	 AE017225 	 2264
RF00059 	 TPP 	 AE017225 	 2265
RF00005 	 tRNA 	 AE017225 	 2266
RF00230 	 T-box 	 AE017225 	 2267
RF00230 	 T-box 	 AE017225 	 2311
RF00005 	 tRNA 	 AE017225 	 2358
RF00005 	 tRNA 	 AE017225 	 2359
RF00230 	 T-box 	 AE017225 	 2360
RF00516 	 ylbH 	 AE017225 	 2426
RF00167 	 Purine 	 AE017225 	 2473
RF00005 	 tRNA 	 AE017225 	 2474
RF00005 	 tRNA 	 AE017225 	 2475
RF00005 	 tRNA 	 AE017225 	 2542
RF00005 	 tRNA 	 AE017225 	 2543
RF00005 	 tRNA 	 AE017225 	 2608
RF01764 	 yjdF 	 AE017225 	 2680
RF00230 	 T-box 	 AE017225 	 2752
RF00005 	 tRNA 	 AE017225 	 2753
RF00005 	 tRNA 	 AE017225 	 2754
RF00001 	 5S_rRNA 	 AE017225 	 2755
RF00005 	 tRNA 	 AE017225 	 2828
RF00515 	 PyrR 	 AE017225 	 2829
RF01730 	 Termite-leu 	 AE017225 	 2830
RF00001 	 5S_rRNA 	 AE017225 	 2831
RF00005 	 tRNA 	 AE017225 	 2832
RF00005 	 tRNA 	 AE017225 	 2833
RF00005 	 tRNA 	 AE017225 	 2914
RF00005 	 tRNA 	 AE017225 	 2915
RF00005 	 tRNA 	 AE017225 	 2916
RF00005 	 tRNA 	 AE017225 	 2917
RF00005 	 tRNA 	 AE017225 	 2918
RF00162 	 SAM 	 AE017225 	 3019
RF00162 	 SAM 	 AE017225 	 3020
RF00005 	 tRNA 	 AE017225 	 3021
RF00388 	 Anti-Q_RNA 	 AE017225 	 3123
RF00028 	 Intron_gpI 	 AE017225 	 3124
RF00230 	 T-box 	 AE017225 	 3125
RF00005 	 tRNA 	 AE017225 	 3126
RF00162 	 SAM 	 AE017225 	 3127
RF00230 	 T-box 	 AE017225 	 3245
RF00230 	 T-box 	 AE017225 	 3246
RF00162 	 SAM 	 AE017225 	 3247
RF00238 	 ctRNA_pND324 	 AE017225 	 3248
RF00005 	 tRNA 	 AE017225 	 3374
RF00230 	 T-box 	 AE017225 	 3375
RF00001 	 5S_rRNA 	 AE017225 	 3376
RF00005 	 tRNA 	 AE017225 	 3377
RF00005 	 tRNA 	 AE017225 	 3378
RF00005 	 tRNA 	 AE017225 	 3525
RF01363 	 CRISPR-DR50 	 AE017225 	 3526
RF00001 	 5S_rRNA 	 AE017225 	 3527
RF00001 	 5S_rRNA 	 AE017225 	 3528
RF01730 	 Termite-leu 	 AE017225 	 3529
RF00005 	 tRNA 	 AE017225 	 3530
RF00005 	 tRNA 	 AE017225 	 3531
RF00005 	 tRNA 	 AE017225 	 3532
RF01705 	 Flavo-1 	 AE017225 	 3533
RF00001 	 5S_rRNA 	 AE017225 	 3534
RF00005 	 tRNA 	 AE017225 	 3535
RF00005 	 tRNA 	 AE017225 	 3536
RF00001 	 5S_rRNA 	 AE017225 	 3537
RF00001 	 5S_rRNA 	 AE017225 	 3730
RF00005 	 tRNA 	 AE017225 	 3731
RF00005 	 tRNA 	 AE017225 	 3732
RF00238 	 ctRNA_pND324 	 AE017225 	 3733
RF00005 	 tRNA 	 AE017225 	 3734
RF00379 	 ydaO-yuaA 	 AE017225 	 3735
RF00230 	 T-box 	 AE017225 	 3924
RF00005 	 tRNA 	 AE017225 	 3925
RF00001 	 5S_rRNA 	 AE017225 	 3926
RF00238 	 ctRNA_pND324 	 AE017225 	 3927
RF00238 	 ctRNA_pND324 	 AE017225 	 3928
RF00005 	 tRNA 	 AE017225 	 3929
RF00005 	 tRNA 	 AE017225 	 3930
RF00238 	 ctRNA_pND324 	 AE017225 	 3931
RF00001 	 5S_rRNA 	 AE017225 	 4179
RF00162 	 SAM 	 AE017225 	 4180
RF00005 	 tRNA 	 AE017225 	 4181
RF00005 	 tRNA 	 AE017225 	 4470
RF01365 	 CRISPR-DR52 	 AE017225 	 4471
RF00005 	 tRNA 	 AE017225 	 4472
RF00005 	 tRNA 	 AE017225 	 4473
RF00005 	 tRNA 	 AE017225 	 4474
RF00005 	 tRNA 	 AE017225 	 4475
RF00005 	 tRNA 	 AE017225 	 4476
RF00238 	 ctRNA_pND324 	 AE017225 	 4477
RF00238 	 ctRNA_pND324 	 AE017225 	 4478
RF00005 	 tRNA 	 AE017225 	 4479
RF00238 	 ctRNA_pND324 	 AE017225 	 4480
RF00005 	 tRNA 	 AE017225 	 4481
RF00005 	 tRNA 	 AE017225 	 4482
RF00005 	 tRNA 	 AE017225 	 4483
RF00080 	 yybP-ykoY 	 AE017225 	 4484
RF00005 	 tRNA 	 AE017225 	 4833
RF01410 	 BsrC 	 AE017225 	 4834
RF00005 	 tRNA 	 AE017225 	 4835
RF00005 	 tRNA 	 AE017225 	 4836
RF00005 	 tRNA 	 AE017225 	 4837
RF00162 	 SAM 	 AE017225 	 4838
RF01362 	 CRISPR-DR49 	 AE017225 	 4839
RF00005 	 tRNA 	 AE017225 	 4840
RF01470 	 rli38 	 AE017225 	 4841
RF00005 	 tRNA 	 AE017225 	 4842
RF00005 	 tRNA 	 AE017225 	 4843
RF00005 	 tRNA 	 AE017225 	 4844
RF00005 	 tRNA 	 AE017225 	 4845
RF00005 	 tRNA 	 AE017225 	 4846
RF00005 	 tRNA 	 AE017225 	 4847
RF00522 	 PreQ1 	 AE017225 	 5239
RF00632 	 sxy 	 AE017225 	 5240
RF01527 	 CC3510 	 AE017225 	 5241
RF00238 	 ctRNA_pND324 	 AE017225 	 5242
RF00238 	 ctRNA_pND324 	 AE017225 	 5243
RF00230 	 T-box 	 AE017225 	 5244
RF00005 	 tRNA 	 AE017225 	 5245
RF00005 	 tRNA 	 AE017225 	 5246
RF00005 	 tRNA 	 AE017225 	 5247
RF00005 	 tRNA 	 AE017225 	 5248
RF00059 	 TPP 	 AE017225 	 5249
RF00238 	 ctRNA_pND324 	 AE017225 	 5572
RF01363 	 CRISPR-DR50 	 AE017225 	 5573
RF00238 	 ctRNA_pND324 	 AE017225 	 5574
RF00005 	 tRNA 	 AE017225 	 5575
RF01470 	 rli38 	 AE017225 	 5576
RF01734 	 crcB 	 AE017225 	 5577
RF00005 	 tRNA 	 AE017225 	 5578
RF00242 	 ctRNA_pT181 	 AE017225 	 5579
RF00515 	 PyrR 	 AE017225 	 5580
RF00515 	 PyrR 	 AE017225 	 5581
RF00002 	 5_8S_rRNA 	 AE017194 	 1
RF00002 	 5_8S_rRNA 	 AE017194 	 2
RF00002 	 5_8S_rRNA 	 AE017194 	 3
RF00002 	 5_8S_rRNA 	 AE017194 	 4
RF00002 	 5_8S_rRNA 	 AE017194 	 5
RF00002 	 5_8S_rRNA 	 AE017194 	 6
RF00002 	 5_8S_rRNA 	 AE017194 	 7
RF00002 	 5_8S_rRNA 	 AE017194 	 8
RF00002 	 5_8S_rRNA 	 AE017194 	 9
RF00002 	 5_8S_rRNA 	 AE017194 	 10
RF00011 	 RNaseP_bact_b 	 AE017194 	 11
RF00010 	 RNaseP_bact_a 	 AE017194 	 12
RF00177 	 SSU_rRNA_bacteria 	 AE017194 	 13
RF00177 	 SSU_rRNA_bacteria 	 AE017194 	 17
RF00177 	 SSU_rRNA_bacteria 	 AE017194 	 18
RF00177 	 SSU_rRNA_bacteria 	 AE017194 	 19
RF00177 	 SSU_rRNA_bacteria 	 AE017194 	 20
RF00177 	 SSU_rRNA_bacteria 	 AE017194 	 21
RF00177 	 SSU_rRNA_bacteria 	 AE017194 	 22
RF00177 	 SSU_rRNA_bacteria 	 AE017194 	 23
RF00177 	 SSU_rRNA_bacteria 	 AE017194 	 24
RF00177 	 SSU_rRNA_bacteria 	 AE017194 	 25
RF00177 	 SSU_rRNA_bacteria 	 AE017194 	 26
RF00177 	 SSU_rRNA_bacteria 	 AE017194 	 27
RF00023 	 tmRNA 	 AE017194 	 30
RF00002 	 5_8S_rRNA 	 AE017194 	 48
RF00001 	 5S_rRNA 	 AE017194 	 56
RF00001 	 5S_rRNA 	 AE017194 	 65
RF00001 	 5S_rRNA 	 AE017194 	 67
RF00001 	 5S_rRNA 	 AE017194 	 68
RF00001 	 5S_rRNA 	 AE017194 	 69
RF00001 	 5S_rRNA 	 AE017194 	 70
RF00001 	 5S_rRNA 	 AE017194 	 71
RF00001 	 5S_rRNA 	 AE017194 	 72
RF00169 	 Bacteria_small_SRP 	 AE017194 	 73
RF00001 	 5S_rRNA 	 AE017194 	 75
RF00001 	 5S_rRNA 	 AE017194 	 76
RF00001 	 5S_rRNA 	 AE017194 	 77
RF00001 	 5S_rRNA 	 AE017194 	 79
RF01118 	 PK-G12rRNA 	 AE017194 	 81
RF01766 	 cspA 	 AE017194 	 82
RF00013 	 6S 	 AE017194 	 84
RF00559 	 L21_leader 	 AE017194 	 91
RF01118 	 PK-G12rRNA 	 AE017194 	 93
RF01118 	 PK-G12rRNA 	 AE017194 	 94
RF01118 	 PK-G12rRNA 	 AE017194 	 95
RF01118 	 PK-G12rRNA 	 AE017194 	 97
RF01118 	 PK-G12rRNA 	 AE017194 	 99
RF01118 	 PK-G12rRNA 	 AE017194 	 100
RF01118 	 PK-G12rRNA 	 AE017194 	 101
RF01118 	 PK-G12rRNA 	 AE017194 	 102
RF01118 	 PK-G12rRNA 	 AE017194 	 103
RF01118 	 PK-G12rRNA 	 AE017194 	 104
RF01854 	 Bacteria_large_SRP 	 AE017194 	 105
RF01118 	 PK-G12rRNA 	 AE017194 	 106
RF00013 	 6S 	 AE017194 	 118
RF00558 	 L20_leader 	 AE017194 	 127
RF01766 	 cspA 	 AE017194 	 134
RF00230 	 T-box 	 AE017194 	 139
RF00555 	 L13_leader 	 AE017194 	 145
RF00557 	 L10_leader 	 AE017194 	 146
RF01051 	 c-di-GMP-I 	 AE017194 	 174
RF01820 	 RsaE 	 AE017194 	 183
RF00556 	 L19_leader 	 AE017194 	 209
RF00230 	 T-box 	 AE017194 	 214
RF00162 	 SAM 	 AE017194 	 220
RF00230 	 T-box 	 AE017194 	 232
RF00504 	 Glycine 	 AE017194 	 251
RF00005 	 tRNA 	 AE017194 	 254
RF01766 	 cspA 	 AE017194 	 257
RF00005 	 tRNA 	 AE017194 	 262
RF00230 	 T-box 	 AE017194 	 269
RF00005 	 tRNA 	 AE017194 	 272
RF00005 	 tRNA 	 AE017194 	 289
RF00005 	 tRNA 	 AE017194 	 292
RF00005 	 tRNA 	 AE017194 	 293
RF00005 	 tRNA 	 AE017194 	 303
RF00005 	 tRNA 	 AE017194 	 306
RF01730 	 Termite-leu 	 AE017194 	 316
RF00005 	 tRNA 	 AE017194 	 354
RF01411 	 BsrF 	 AE017194 	 366
RF00005 	 tRNA 	 AE017194 	 380
RF00005 	 tRNA 	 AE017194 	 381
RF00005 	 tRNA 	 AE017194 	 382
RF00050 	 FMN 	 AE017194 	 409
RF00005 	 tRNA 	 AE017194 	 410
RF00005 	 tRNA 	 AE017194 	 411
RF00005 	 tRNA 	 AE017194 	 435
RF00005 	 tRNA 	 AE017194 	 436
RF00230 	 T-box 	 AE017194 	 437
RF00230 	 T-box 	 AE017194 	 438
RF00005 	 tRNA 	 AE017194 	 439
RF00242 	 ctRNA_pT181 	 AE017194 	 440
RF00005 	 tRNA 	 AE017194 	 456
RF00005 	 tRNA 	 AE017194 	 457
RF00005 	 tRNA 	 AE017194 	 472
RF00005 	 tRNA 	 AE017194 	 473
RF00379 	 ydaO-yuaA 	 AE017194 	 494
RF00005 	 tRNA 	 AE017194 	 495
RF00005 	 tRNA 	 AE017194 	 496
RF00005 	 tRNA 	 AE017194 	 520
RF00230 	 T-box 	 AE017194 	 521
RF00005 	 tRNA 	 AE017194 	 522
RF00005 	 tRNA 	 AE017194 	 523
RF00005 	 tRNA 	 AE017194 	 539
RF00005 	 tRNA 	 AE017194 	 540
RF02004 	 group-II-D1D4-5 	 AE017194 	 541
RF00005 	 tRNA 	 AE017194 	 542
RF00162 	 SAM 	 AE017194 	 569
RF00005 	 tRNA 	 AE017194 	 570
RF00167 	 Purine 	 AE017194 	 571
RF00380 	 ykoK 	 AE017194 	 572
RF02004 	 group-II-D1D4-5 	 AE017194 	 603
RF00230 	 T-box 	 AE017194 	 604
RF00005 	 tRNA 	 AE017194 	 605
RF00005 	 tRNA 	 AE017194 	 606
RF00005 	 tRNA 	 AE017194 	 643
RF00005 	 tRNA 	 AE017194 	 644
RF00005 	 tRNA 	 AE017194 	 645
RF00005 	 tRNA 	 AE017194 	 646
RF01764 	 yjdF 	 AE017194 	 693
RF00230 	 T-box 	 AE017194 	 694
RF00005 	 tRNA 	 AE017194 	 695
RF00230 	 T-box 	 AE017194 	 733
RF01343 	 CRISPR-DR33 	 AE017194 	 734
RF00230 	 T-box 	 AE017194 	 795
RF01766 	 cspA 	 AE017194 	 796
RF00029 	 Intron_gpII 	 AE017194 	 797
RF00230 	 T-box 	 AE017194 	 798
RF00005 	 tRNA 	 AE017194 	 799
RF00005 	 tRNA 	 AE017194 	 800
RF00234 	 glmS 	 AE017194 	 869
RF00230 	 T-box 	 AE017194 	 870
RF00005 	 tRNA 	 AE017194 	 871
RF00005 	 tRNA 	 AE017194 	 872
RF00230 	 T-box 	 AE017194 	 873
RF00005 	 tRNA 	 AE017194 	 874
RF00005 	 tRNA 	 AE017194 	 875
RF00230 	 T-box 	 AE017194 	 876
RF00005 	 tRNA 	 AE017194 	 877
RF00005 	 tRNA 	 AE017194 	 878
RF00005 	 tRNA 	 AE017194 	 879
RF00005 	 tRNA 	 AE017194 	 880
RF00168 	 Lysine 	 AE017194 	 881
RF00162 	 SAM 	 AE017194 	 996
RF00005 	 tRNA 	 AE017194 	 997
RF00029 	 Intron_gpII 	 AE017194 	 998
RF00230 	 T-box 	 AE017194 	 999
RF00005 	 tRNA 	 AE017194 	 1000
RF00005 	 tRNA 	 AE017194 	 1001
RF00005 	 tRNA 	 AE017194 	 1002
RF00005 	 tRNA 	 AE017194 	 1003
RF00230 	 T-box 	 AE017194 	 1004
RF00059 	 TPP 	 AE017194 	 1005
RF00005 	 tRNA 	 AE017194 	 1006
RF00005 	 tRNA 	 AE017194 	 1007
RF00005 	 tRNA 	 AE017194 	 1008
RF00005 	 tRNA 	 AE017194 	 1009
RF00005 	 tRNA 	 AE017194 	 1010
RF00388 	 Anti-Q_RNA 	 AE017194 	 1011
RF01410 	 BsrC 	 AE017194 	 1169
RF00380 	 ykoK 	 AE017194 	 1170
RF00230 	 T-box 	 AE017194 	 1171
RF00230 	 T-box 	 AE017194 	 1172
RF00005 	 tRNA 	 AE017194 	 1173
RF00005 	 tRNA 	 AE017194 	 1174
RF00005 	 tRNA 	 AE017194 	 1175
RF00005 	 tRNA 	 AE017194 	 1176
RF00230 	 T-box 	 AE017194 	 1177
RF00230 	 T-box 	 AE017194 	 1178
RF00167 	 Purine 	 AE017194 	 1179
RF00174 	 Cobalamin 	 AE017194 	 1180
RF00238 	 ctRNA_pND324 	 AE017194 	 1181
RF00230 	 T-box 	 AE017194 	 1182
RF00005 	 tRNA 	 AE017194 	 1183
RF00005 	 tRNA 	 AE017194 	 1184
RF00107 	 FinP 	 AE017194 	 1185
RF00005 	 tRNA 	 AE017194 	 1186
RF00005 	 tRNA 	 AE017194 	 1187
RF00005 	 tRNA 	 AE017194 	 1188
RF00005 	 tRNA 	 AE017194 	 1189
RF00005 	 tRNA 	 AE017194 	 1190
RF00379 	 ydaO-yuaA 	 AE017194 	 1191
RF01766 	 cspA 	 AE017194 	 1631
RF00230 	 T-box 	 AE017194 	 1632
RF00230 	 T-box 	 AE017194 	 1633
RF00080 	 yybP-ykoY 	 AE017194 	 1634
RF00522 	 PreQ1 	 AE017194 	 1635
RF00238 	 ctRNA_pND324 	 AE017194 	 1636
RF00005 	 tRNA 	 AE017194 	 1637
RF00005 	 tRNA 	 AE017194 	 1638
RF00168 	 Lysine 	 AE017194 	 1639
RF01725 	 SAM-I-IV-variant 	 AE017194 	 1640
RF00162 	 SAM 	 AE017194 	 1641
RF00230 	 T-box 	 AE017194 	 1642
RF00230 	 T-box 	 AE017194 	 1643
RF00230 	 T-box 	 AE017194 	 1644
RF00005 	 tRNA 	 AE017194 	 1645
RF00005 	 tRNA 	 AE017194 	 1646
RF00167 	 Purine 	 AE017194 	 1647
RF00029 	 Intron_gpII 	 AE017194 	 1648
RF00515 	 PyrR 	 AE017194 	 1649
RF00230 	 T-box 	 AE017194 	 1650
RF00005 	 tRNA 	 AE017194 	 1651
RF00005 	 tRNA 	 AE017194 	 1652
RF00005 	 tRNA 	 AE017194 	 1653
RF00005 	 tRNA 	 AE017194 	 1654
RF00005 	 tRNA 	 AE017194 	 1655
RF00238 	 ctRNA_pND324 	 AE017194 	 1656
RF00238 	 ctRNA_pND324 	 AE017194 	 1657
RF01734 	 crcB 	 AE017194 	 1658
RF00059 	 TPP 	 AE017194 	 1659
RF01735 	 epsC 	 AE017194 	 1660
RF00005 	 tRNA 	 AE017194 	 1661
RF00005 	 tRNA 	 AE017194 	 1662
RF00005 	 tRNA 	 AE017194 	 1663
RF00005 	 tRNA 	 AE017194 	 1664
RF00005 	 tRNA 	 AE017194 	 1665
RF00005 	 tRNA 	 AE017194 	 1666
RF00059 	 TPP 	 AE017194 	 1667
RF00238 	 ctRNA_pND324 	 AE017194 	 1668
RF01764 	 yjdF 	 AE017194 	 5827
RF00005 	 tRNA 	 AE017194 	 5828
RF00238 	 ctRNA_pND324 	 AE017194 	 5829
RF00005 	 tRNA 	 AE017194 	 5830
RF00028 	 Intron_gpI 	 AE017194 	 5831
RF01730 	 Termite-leu 	 AE017194 	 5832
RF00230 	 T-box 	 AE017194 	 5833
RF00005 	 tRNA 	 AE017194 	 5834
RF00005 	 tRNA 	 AE017194 	 5835
RF00005 	 tRNA 	 AE017194 	 5836
RF00230 	 T-box 	 AE017194 	 5837
RF00162 	 SAM 	 AE017194 	 5838
RF00238 	 ctRNA_pND324 	 AE017194 	 5839
RF00050 	 FMN 	 AE017194 	 5840
RF01749 	 pan 	 AE017194 	 5841
RF00167 	 Purine 	 AE017194 	 5842
RF00522 	 PreQ1 	 AE017194 	 5843
RF00238 	 ctRNA_pND324 	 AE017194 	 5844
RF00168 	 Lysine 	 AE017194 	 5845
RF00230 	 T-box 	 AE017194 	 5846
RF00515 	 PyrR 	 AE017194 	 5847
RF00230 	 T-box 	 AE017194 	 5848
RF00230 	 T-box 	 AE017194 	 5849
RF00230 	 T-box 	 AE017194 	 5850
RF00230 	 T-box 	 AE017194 	 5851
RF00162 	 SAM 	 AE017194 	 5852
RF00238 	 ctRNA_pND324 	 AE017194 	 5853
RF00162 	 SAM 	 AE017194 	 5854
RF00230 	 T-box 	 AE017194 	 5855
RF00230 	 T-box 	 AE017194 	 5856
RF00230 	 T-box 	 AE017194 	 5857
RF00230 	 T-box 	 AE017194 	 5858
RF00506 	 Thr_leader 	 AE017194 	 5859
RF00506 	 Thr_leader 	 AE017194 	 5860
RF00238 	 ctRNA_pND324 	 AE017194 	 5861
RF00059 	 TPP 	 AE017194 	 5862
RF00162 	 SAM 	 AE017194 	 5863
RF00230 	 T-box 	 AE017194 	 5864
RF01363 	 CRISPR-DR50 	 AE017194 	 5865
