RUF_ID RNAz_P_Values(Forward) RNA_type(Forward) RNAz_P_Values(Reverse) RNA_type(Reverse)
AM180355_1760894_1761141 0.996400 RNA 0.999891 RNA
AM180355_1766679_1766903 0.941877 RNA 0.997008 RNA
AM180355_1766775_1766903 0.613014 RNA 0.974217 RNA
AM180355_17750_17804 0.998835 RNA 0.964137 RNA
AM180355_180259_180592 0.842786 RNA 0.285328 OTHER
AM180355_180298_180570 0.133301 OTHER 0.034563 OTHER
AM180355_1963098_1963249 0.000004 OTHER 0.000000 OTHER
AM180355_20173_20391 0.959855 RNA 0.000001 OTHER
AM180355_2025820_2026037 0.000012 OTHER 0.049895 OTHER
AM180355_236661_236791 0.000009 OTHER 0.293149 OTHER
AM180355_2500484_2500592 0.000000 OTHER 0.000000 OTHER
AM180355_2516810_2517043 0.000000 OTHER 0.005035 OTHER
AM180355_2518510_2518743 0.000000 OTHER 0.000007 OTHER
AM180355_2735113_2735261 0.998816 RNA 0.993849 RNA
AM180355_2821825_2821989 0.549729 RNA 0.500000 OTHER
AM180355_2901721_2901817 0.305728 OTHER 0.055842 OTHER
AM180355_3015607_3015838 0.998176 RNA 0.947215 RNA
AM180355_3081391_3081580 0.998680 RNA 0.998567 RNA
AM180355_3102225_3102564 0.389877 OTHER 0.943811 RNA
AM180355_31282_31374 0.460858 OTHER 0.000000 OTHER
AM180355_3303273_3303374 0.997843 RNA 0.993522 RNA
AM180355_3800670_3800921 0.000000 OTHER 0.350452 OTHER
AM180355_38461_38524 0.007137 OTHER 0.000002 OTHER
AM180355_391201_391384 0.998608 RNA 0.528636 RNA
AM180355_4063794_4063900 0.990733 RNA 0.982188 RNA
AM180355_4085013_4085103 0.804013 RNA 0.412135 OTHER
AM180355_4109636_4109793 0.087584 OTHER 0.786281 RNA
AM180355_4216802_4216928 0.145518 OTHER 0.970200 RNA
AM180355_4274315_4274371 0.085683 OTHER 0.990364 RNA
AM180355_4275719_4275822 0.011793 OTHER 0.000003 OTHER
AM180355_4282126_4282218 0.005787 OTHER 0.000000 OTHER
AM180355_4289997_4290248 0.069288 OTHER 0.002712 OTHER
AM180355_466362_466653 0.004491 OTHER 0.000000 OTHER
AM180355_48005_48085 0.000000 OTHER 0.000000 OTHER
AM180355_49209_49290 0.000008 OTHER 0.000000 OTHER
AM180355_61493_61666 0.034094 OTHER 0.000001 OTHER
AM180355_619001_619228 0.986661 RNA 0.821977 RNA
AM180355_63414_63803 0.167310 OTHER 0.694162 RNA
AM180355_72924_73283 0.940480 RNA 0.931333 RNA
AM180355_76943_76999 0.278609 OTHER 0.076323 OTHER
AM180355_831958_832015 0.000000 OTHER 0.000000 OTHER
AM180355_83666_83740 0.306991 OTHER 0.000000 OTHER
AM180355_85100_85181 0.000016 OTHER 0.069288 OTHER
AM180355_864860_865180 0.031093 OTHER 0.418370 OTHER
AM180355_864864_865034 0.365595 OTHER 0.998155 RNA
AM180355_86611_86667 0.818143 RNA 0.991335 RNA
AM180355_87368_87586 0.609485 RNA 0.026017 OTHER
AM180355_88088_88162 0.000000 OTHER 0.007877 OTHER
AM180355_897402_897553 0.997888 RNA 0.663635 RNA
AM180355_962613_962700 0.000001 OTHER 0.000010 OTHER
AM180355_97487_97687 0.261409 OTHER 0.174124 OTHER
AM180355_981076_981246 0.992627 RNA 0.128846 OTHER
AM180355_981079_981246 0.993250 RNA 0.218871 OTHER
AM180355_98705_98770 0.867047 RNA 0.022661 OTHER
AM743169_1032370_1032476 0.559235 RNA 0.000000 OTHER
AM743169_1322020_1322077 0.004850 OTHER 0.000000 OTHER
AM743169_1412972_1413046 0.960664 RNA 0.033344 OTHER
AM743169_1816876_1816936 0.515947 RNA 0.158402 OTHER
AM743169_2066744_2066830 0.022979 OTHER 0.137496 OTHER
AM743169_2957760_2957880 0.004649 OTHER 0.000000 OTHER
AM743169_4794935_4795270 0.000000 OTHER 0.000000 OTHER
AM743169_546852_546995 0.456127 OTHER 0.722453 RNA
AM743169_558188_558295 0.978894 RNA 0.987650 RNA
AM743169_558993_559085 0.980638 RNA 0.967150 RNA
AM743169_936300_936357 0.012282 OTHER 0.313640 OTHER
AM743169_940551_940901 0.999703 RNA 0.757888 RNA
AM743169_955453_955771 0.999726 RNA 0.959279 RNA
AM942759_1100745_1100841 NA NA NA NA
AM942759_2454040_2454437 0.775065 RNA 0.948396 RNA
AM942759_3062558_3062623 0.000000 OTHER 0.000000 OTHER
AM942759_3064581_3064728 NA NA NA NA
AM942759_3067114_3067183 NA NA NA NA
AM942759_3365567_3365626 NA NA NA NA
AM942759_3569587_3569986 0.943911 RNA 0.787045 RNA
AM942759_3579522_3579609 NA NA NA NA
AM942759_3579760_3579886 0.984140 RNA 0.000001 OTHER
AM942759_783534_783717 0.344098 OTHER 0.000002 OTHER
