RUF_ID	Z_Score(+)	Z_Score(-)
AE004969_350631_350704	0.5	-0.8
AE004969_388568_388661	-1.6	0.5
AE004969_454810_454892	-6.3	-4.4
AE004969_471642_471837	-3.0	-2.0
AE004969_496767_497110	-2.4	-2.3
AE004969_569205_569362	-2.9	-3.1
AE004969_621836_622049	-5.7	-2.4
AE004969_625868_625990	-0.7	-1.2
AE004969_762724_762906	-2.0	-2.8
AE004969_785652_785741	-5.7	-3.4
AE004969_894609_894871	-5.8	-5.8
AE004969_900467_900580	-2.0	-2.3
AE004969_906812_906916	0.2	2.1
AE008923_1117262_1117356	-4.2	-2.7
AE008923_1142850_1142930	-0.4	-0.4
AE008923_1146074_1146283	-1.1	-1.6
AE008923_1168414_1168491	0.0	-2.0
AE008923_2320973_2321030	0.4	-1.2
AE008923_3045081_3045312	-1.0	-0.2
AE008923_3350324_3350495	0.1	1.4
AE008923_3661751_3661962	1.6	0.1
AE008923_4178251_4178544	0.3	-0.2
AE008923_4276805_4277002	-2.2	-3.0
AE008923_4333197_4333259	1.7	0
AE008923_4579572_4579749	-0.3	-0.2
AE008923_4581610_4581911	-4.2	-5.7
AE008923_4626381_4626552	-1.1	0.4
AE008923_4700592_4700797	-0.2	0.2
AE008923_4919255_4919454	0.5	-0.7
AE008923_4946686_4946875	-2.0	-2.8
AE008923_5068810_5069012	-1.1	-1.6
AE008923_5070848_5071184	-4.2	-5.3
AE008923_5096351_5096419	-0.5	-0.2
AE008923_929766_930017	0.0	1.2
AE014613_1190094_1190229	-2.3	-1.0
AE014613_1276595_1276723	-1.4	0.5
AE014613_1397941_1397990	0.1	0.2
AE014613_1852667_1852755	-1.2	-0.5
AE014613_1892749_1892826	-0.0	0.2
AE014613_2695422_2695501	1.6	-0.2
AE014613_2697414_2697463	0	-0.7
AE014613_2701853_2701903	0.0	1.0
AE014613_2702210_2702269	0.7	-1.6
AE014613_2702450_2702523	-0.2	0.0
AE014613_287126_287183	0.2	1.4
AE014613_3388901_3389185	-0.5	-1.0
AE014613_3427238_3427543	0.0	-0.3
AE014613_3739102_3739161	-2.5	-3.0
AE014613_3763703_3763816	-2.6	-1.4
AE014613_4122170_4122292	-1.5	-2.9
AE014613_4198641_4198773	-3.2	-1.6
AE014613_4506812_4506883	2.3	1.1
AE014613_4790700_4790831	-0.5	-0.2
AE014613_4790860_4791031	0.4	-0.8
AE014613_499318_499554	-1.9	-1.1
AE014613_681113_681178	0.3	-0.0
AE014613_681313_681375	1.5	1.0
AE014613_724649_724714	0.4	-0.9
AE014613_999785_999861	-2.7	0.4
AE015451_1325325_1325479	-4.1	-5.4
AE015451_171212_171364	-3.8	-3.9
AE015451_176623_176793	-3.9	-3.4
AE015451_1883243_1883426	-3.3	-3.0
AE015451_2548422_2548666	-5.3	-2.9
AE015451_524777_524928	-3.6	-3.6
AE015451_5312724_5312855	-4.0	-2.9
AE015451_536972_537026	-0.3	0.1
AE015451_697630_697800	-3.3	-2.9
AE015924_1181202_1181445	-4.0	-5.4
AE015924_1299026_1299170	-3.9	-1.2
AE015924_1320942_1321251	-6.2	-5.0
AE015924_1344551_1344666	-1.0	-0.9
AE015924_1349292_1349367	-0.7	-0.3
AE015924_1495257_1495346	0.7	0.2
AE015924_1710568_1710821	-3.8	-3.9
AE015924_1758418_1758557	-5.8	-5.4
AE015924_1771573_1771779	-2.7	-1.2
AE015924_1786017_1786171	-2.0	-3.2
AE015924_1964962_1965172	-5.7	-6.2
AE015924_2058306_2058621	-3.4	-2.9
AE015924_2067691_2067862	-2.6	-1.4
AE015924_422188_422353	-2.3	-1.3
AE015924_524958_525074	-3.9	-3.2
AE015924_615236_615385	-2.0	-2.4
AE016877_110316_110485	-3.1	-2.2
AE016877_139648_139830	-1.9	-1.8
AE016877_155613_155847	-0.4	-1.2
AE016877_3782852_3782954	1.4	-2.9
AE016877_4519981_4520134	-2.1	-2.3
AE016877_4803926_4804169	0.2	0.1
AE016877_514492_514735	-1.6	-1.9
AE016877_722915_723160	-0.0	-0.1
AE016877_86691_86935	-0.2	0.2
AE017194_104798_104967	-2.9	-2.1
AE017194_116972_117180	-5.7	-2.3
AE017194_120775_120939	-3.1	-3.6
AE017194_4776918_4777058	0.9	-0.1
AE017194_5038196_5038316	-0.6	-2.4
AE017194_5211696_5211889	-2.9	-5.5
AE017225_1014336_1014551	-3.2	-1.8
AE017225_1016890_1017025	-3.7	-4.8
AE017225_105393_105572	-3.0	-3.4
AE017225_106996_107065	-0.1	-0.1
AE017225_107423_107499	-5.0	-5.0
AE017225_1155029_1155158	-4.1	-1.9
AE017225_115934_116050	-4.8	-4.0
AE017225_116971_117180	-4.2	-1.7
AE017225_119257_119376	-3.7	0.2
AE017225_120763_120963	-3.3	-3.1
AE017225_1224435_1224572	-2.4	-4.2
AE017225_123734_123796	-4.4	-3.1
AE017225_1273285_1273436	-3.5	-3.5
AE017225_131439_131497	-3.1	-2.4
AE017225_132892_132962	-2.5	-2.6
AE017225_134129_134311	-2.7	-2.3
AE017225_138995_139149	-0.8	-0.9
AE017225_2727456_2727511	0	0.1
AE017225_3300338_3300556	-3.4	-5.2
AE017225_359347_359403	0.2	-0.7
AE017225_3604842_3604933	0	1.6
AE017225_3622719_3622821	1.2	-2.0
AE017225_3659216_3659318	-1.3	-0.8
AE017225_3666894_3666965	0	-0.0
AE017225_3825891_3826090	-2.7	-2.4
AE017225_3826012_3826102	0.1	1.0
AE017225_3826286_3826612	-3.1	-1.4
AE017225_3872119_3872446	-1.8	-1.0
AE017225_4001722_4001811	-4.3	-4.3
AE017225_4329164_4329244	0.4	-0.0
AE017225_4379674_4379745	-0.7	0.7
AE017225_4402019_4402166	-3.1	-3.5
AE017225_4631928_4631999	-0.0	0.7
AE017225_4733484_4733534	0.1	-0.2
AE017225_5040548_5040669	-0.7	-3.4
AE017225_5063028_5063147	-2.8	-2.5
AE017225_5074649_5074761	-3.6	-3.6
AE017225_5076873_5076981	-0.6	-1.3
AE017225_84130_84195	0.7	-0.0
AE017354_1344328_1344443	-2.2	-1.8
AE017354_1478050_1478134	-5.7	-6.6
AE017354_2079445_2079538	-0.9	-0.9
AE017354_2080005_2080111	-1.0	-1.8
AE017354_2099288_2099346	0	0
AE017354_2558031_2558081	0	0
AE017354_2590887_2590949	-1.9	-2.1
AE017354_2593420_2593762	-2.6	-1.9
AE017354_2594083_2594147	0.5	0.6
AE017354_2663499_2663703	-2.8	-2.6
AE017354_3064806_3065044	2.1	1.4
AE017354_3065432_3065605	-2.5	-2.5
AE017354_3068332_3068505	-3.4	-3.8
AE017354_3141700_3141772	0.7	0.8
AE017354_3292177_3292395	-9.9	-10.0
AE017354_3294671_3294815	1.2	1.6
AE017354_3303386_3303691	-9.2	-10.1
AE017354_3350906_3350980	-4.3	-3.8
AE017354_3380170_3380223	-2.5	-2.6
AE017354_361402_361477	1.0	1.3
AE017354_364838_364945	-1.3	-0.7
AE017354_365019_365093	0.6	0.9
AE017354_365270_365324	-2.0	-1.3
AE017354_366623_366684	-6.1	-5.0
AE017354_368944_369118	-1.1	-1.7
AE017354_370061_370154	-5.3	-4.6
AE017354_385650_385873	-1.7	-1.7
AE017354_413184_413498	-7.1	-6.4
AE017354_465888_465997	-1.1	-1.7
AE017354_466238_466346	-2.8	-2.1
AE017354_491985_492129	0.6	0.9
AE017354_539693_539775	-0.7	-0.3
AE017354_600538_600718	-3.3	-3.3
AE017354_609762_609837	1.2	1.5
AE017354_6900_7270	-2.1	-1.6
AE017354_72674_72781	0.0	0.1
AE017354_807220_807399	-2.8	-2.3
AE017354_80859_81032	-2.2	-2.2
AL123456_100449_100582	1.2	-0.2
AL123456_1015298_1015397	0.2	0.7
AL123456_1016710_1016844	-0.7	-0.1
AL123456_1017131_1017202	-0.6	-2.4
AL123456_1023875_1024170	1.2	-1.3
AL123456_1024162_1024229	0.7	0.5
AL123456_1024240_1024302	-0.6	0.8
AL123456_1025400_1025449	0.7	1.9
AL123456_1026911_1027056	-0.2	-0.6
AL123456_1029358_1029512	-2.8	-1.7
AL123456_11023_11096	-1.2	-0.4
AL123456_1197250_1197326	-0.4	0.9
AL123456_1453011_1453175	-0.4	-0.9
AL123456_1851993_1852272	-3.1	-2.5
AL123456_2007047_2007187	0.4	-0.2
AL123456_2489145_2489207	0.5	0.8
AL123456_2516895_2516994	1.0	-0.6
AL123456_2955436_2955540	-0.2	-0.5
AL123456_3243405_3243575	-2.4	-0.5
AL123456_3331783_3332162	0.1	0.2
AL123456_3415074_3415271	0.8	0.8
AL123456_3557017_3557211	1.3	0.2
AL123456_3557208_3557327	2.1	1.3
AL123456_3837387_3837455	0.7	-0.8
AL123456_3895715_3895804	1.3	0.4
AL123456_3907403_3907528	0.4	-0.2
AL123456_4105673_4105862	-0.6	-0.8
AL123456_665510_665755	0.7	1.1
AL123456_759587_759784	-0.0	-1.4
AL123456_780991_781074	-0.5	-1.0
AL123456_789629_789782	-0.3	-1.6
AL123456_937960_938247	-1.3	-1.2
AL123456_968275_968389	1.4	0.6
AM180355_102373_102483	-0.1	0.4
AM180355_102790_102883	-2.7	-3.5
AM180355_1028374_1028482	-1.5	-1.3
AM180355_1030347_1030461	-0.4	-0.0
AM180355_1159865_1160106	-0.1	-0.5
AM180355_122676_122768	0.2	0.5
AM180355_1250740_1250839	-6.2	-6.0
AM180355_1251683_1251771	0.3	0.4
AM180355_1259865_1260134	-5.6	-5.8
AM180355_130443_130526	-2.8	-1.6
AM180355_1333792_1333893	0.2	-0.2
AM180355_1335188_1335298	-1.4	-1.3
AM180355_1348594_1348686	0.7	0.1
AM180355_1354005_1354131	-0.1	0.8
AM180355_1356810_1356875	0.1	0.3
AM180355_1361115_1361217	-1.3	-1.0
AM180355_1361158_1361232	-1.3	-0.2
AM180355_1364133_1364205	-2.8	-4.4
AM180355_1412453_1412596	-0.1	0.3
AM180355_1412471_1412596	-0.1	0.8
AM180355_1448206_1448299	-8.7	-7.5
AM180355_1457769_1457835	-2.2	-1.8
AM180355_174219_174392	-2.7	-3.1
AM180355_1760814_1761142	-3.4	-2.7
AM180355_1760894_1761141	-4.7	-3.1
AM180355_1766679_1766903	-1.0	-0.8
AM180355_1766775_1766903	-0.6	-0.3
AM180355_17750_17804	-1.7	-0.3
AM180355_180259_180592	-1.8	-3.1
AM180355_180298_180570	-3.1	-4.0
AM180355_1963098_1963249	0.3	0.4
AM180355_20173_20391	-1.8	0.3
AM180355_2025820_2026037	-1.2	-1.9
AM180355_236661_236791	0.6	-0.0
AM180355_2500484_2500592	-0.1	-0.5
AM180355_2516810_2517043	1.4	1.3
AM180355_2518510_2518743	0.7	0.4
AM180355_2735113_2735261	-6.4	-5.8
AM180355_2821825_2821989	-0.4	0.1
AM180355_2901721_2901817	-0.8	-1.3
AM180355_3015607_3015838	-5.3	-4.3
AM180355_3081391_3081580	-5.2	-5.2
AM180355_3102225_3102564	-1.9	-1.8
AM180355_31282_31374	-0.2	-0.3
AM180355_3303273_3303374	-3.6	-4.3
AM180355_3800670_3800921	-1.1	-1.2
AM180355_38461_38524	-0.8	0.3
AM180355_391201_391384	-4.8	-3.5
AM180355_4063794_4063900	-7.5	-7.9
AM180355_4085013_4085103	-1.6	-1.0
AM180355_4109636_4109793	-1.4	-1.3
AM180355_4216802_4216928	-0.7	-0.8
AM180355_4274315_4274371	-0.5	-2.1
AM180355_4275719_4275822	-0.9	1.0
AM180355_4282126_4282218	2.0	1.7
AM180355_4289997_4290248	-0.8	-0.1
AM180355_466362_466653	-1.8	-0.4
AM180355_48005_48085	1.1	0.1
AM180355_49209_49290	1.0	0
AM180355_61493_61666	-0.9	-0.3
AM180355_619001_619228	-3.7	-3.0
AM180355_63414_63803	-4.9	-5.1
AM180355_72924_73283	-3.3	-2.9
AM180355_76943_76999	0.3	0
AM180355_831958_832015	0	0
AM180355_83666_83740	-0.4	-0.2
AM180355_85100_85181	0.5	0.0
AM180355_864860_865180	-1.9	-1.8
AM180355_864864_865034	-1.3	-1.5
AM180355_86611_86667	-2.1	-2.3
AM180355_87368_87586	-1.2	-1.9
AM180355_88088_88162	0	0
AM180355_897402_897553	-3.7	-4.4
AM180355_962613_962700	0.8	0.9
AM180355_97487_97687	-2.1	-1.6
AM180355_981076_981246	-2.8	-3.0
AM180355_981079_981246	-3.1	-2.7
AM180355_98705_98770	-1.9	-1.1
AM743169_1032370_1032476	0.6	1.9
AM743169_1322020_1322077	-0.1	-0.3
AM743169_1412972_1413046	-2.2	0.2
AM743169_1816876_1816936	-1.2	-0.9
AM743169_2066744_2066830	0.5	0.1
AM743169_2957760_2957880	-0.6	0.5
AM743169_4794935_4795270	0.6	-0.3
AM743169_546852_546995	-0.9	-2.4
AM743169_558188_558295	-1.7	-2.5
AM743169_558993_559085	-1.4	-2.1
AM743169_936300_936357	-0.6	-1.3
AM743169_940551_940901	-1.4	-0.2
AM743169_955453_955771	-6.9	-5.6
AM942759_1100745_1100841	-2.5	-2.2
AM942759_2454040_2454437	-0.8	-0.8
AM942759_3062558_3062623	0.8	0.3
AM942759_3064581_3064728	-3.7	-3.7
AM942759_3067114_3067183	-4.2	-4.4
AM942759_3365567_3365626	-4.5	-4.8
AM942759_3569587_3569986	-3.6	-2.7
AM942759_3579522_3579609	-2.2	-2.6
AM942759_3579760_3579886	0.1	0.6
AM942759_783534_783717	-0.5	-1.1
AM942759_785389_785455	-0.9	-1.6
AM942759_947339_947482	0.4	0.3
AP009380_105489_105574	-0.4	1.2
AP009380_1279426_1279600	0.3	1.1
AP009380_1400753_1400836	-0.9	-0.6
AP009380_1565039_1565131	-0.1	-0.7
AP009380_1771296_1771361	-1.0	-1.5
AP009380_1813598_1813722	1.1	0.9
AP009380_1954647_1954706	-0.2	-1.0
AP009380_2018162_2018364	0.7	-0.5
AP009380_2019260_2019415	-2.1	-1.8
AP009380_2026490_2026540	-0.2	-1.0
AP009380_2050508_2050600	-2.5	0.4
AP009380_2054817_2054945	0.7	1.0
AP009380_2071627_2071773	0.4	-2.3
AP009380_2087615_2087689	-1.2	0.2
AP009380_2128844_2128962	0.3	0.3
AP009380_2238174_2238455	-1.4	0.2
AP009380_2290945_2291145	0.6	0.5
AP009380_2336253_2336324	-6.7	-5.6
AP009380_254498_254611	1.7	2.0
AP009380_308277_308550	-2.2	-2.5
AP009380_356949_357047	0.7	0.0
AP009380_484745_484835	-0.8	-1.7
AP009380_498626_498703	0.0	-0.0
AP009380_500489_500579	-0.0	-0.2
AP009380_542134_542223	0.6	0.5
AP009380_771514_771609	-3.3	-2.9
AP009380_794960_795029	-0.5	0.3
AP009380_824785_824914	-1.0	-0.8
AP009380_826209_826259	-0.7	-0.3
AP009380_854756_854988	0.1	1.2
BX548174_1104481_1104654	-0.9	-1.1
BX548174_1246641_1246729	0.4	-0.4
BX548174_1295893_1296040	-1.6	-1.5
BX548174_1321883_1321971	0.8	0.3
BX548174_1375647_1375865	-1.1	-1.1
BX548174_1390123_1390193	-0.3	-2.0
BX548174_1446318_1446429	-3.4	-1.1
BX548174_1481942_1482016	-0.7	-1.5
BX548174_1549740_1549886	-0.8	-0.2
BX548174_195990_196142	-1.8	-1.2
BX548174_241751_241940	-0.1	-0.1
BX548174_258667_258842	-4.3	-2.4
BX548174_300244_300339	0.7	-0.7
BX548174_323953_324059	-0.3	0.4
BX548174_324243_324344	1.9	0.3
BX548174_390563_390656	2.0	-0.7
BX548174_414313_414483	-0.8	-0.9
BX548174_451451_451542	-3.1	-0.0
BX548174_470304_470553	-0.6	-0.7
BX548174_520500_520591	-4.4	-2.9
BX548174_540152_540286	-1.7	0.3
BX548174_626760_626919	-0.0	-0.9
BX548174_656607_656703	0.8	-0.6
BX548174_713325_713477	-2.0	-1.3
BX548174_942258_942407	0.5	-1.6
BX548174_979900_979965	-2.4	-2.6
BX548174_980123_980195	1.6	0
CP000100_1170773_1170842	0.5	1.2
CP000100_1274258_1274437	-2.7	-3.2
CP000100_1421165_1421237	-3.7	-3.1
CP000100_1421317_1421474	0.4	0.0
CP000100_1536910_1536985	1.5	2.4
CP000100_1838650_1838755	-2.2	-2.1
CP000100_219869_219926	-1.2	-0.9
CP000100_2281075_2281199	-2.7	-2.5
CP000100_2288886_2288961	-0.7	-0.5
CP000100_2299516_2299795	-3.7	-3.9
CP000100_2432877_2432950	-1.8	-1.6
CP000100_2596654_2596718	-0.3	0.2
CP000100_2622882_2623090	-4.3	-3.5
CP000100_2638186_2638475	-1.5	-1.8
CP000100_323413_323780	-2.0	-2.4
CP000100_340129_340287	1.1	0.7
CP000100_403898_404015	-1.1	-1.0
CP000100_643964_644173	-2.1	-0.9
CP000143_1218673_1218790	-0.5	-0.7
CP000143_1468_1574	-3.3	-1.7
CP000143_1945_2129	-3.8	-6.1
CP000143_2592842_2592959	-1.0	-0.9
CP000143_290940_291030	-0.4	-0.4
CP000143_2919718_2919877	-0.6	-0.8
CP000143_292190_292422	-3.6	-1.9
CP000143_2958269_2958350	0.0	0.1
CP000143_303213_303420	-0.2	-1.2
CP000143_319699_319836	-2.8	-0.7
CP000143_509154_509289	0.6	-0.2
CP000143_792577_792831	-2.7	-2.0
CP000144_1470_1633	-2.7	-2.4
CP000144_16272_16435	-1.4	0.2
CP000144_1931_2131	-3.7	-4.7
CP000144_238502_238725	-1.0	0.7
CP000144_33597_33674	-2.2	-0.9
CP000144_35144_35306	-2.6	-2.1
CP000144_35603_35803	-3.9	-3.9
CP000144_683392_683495	-0.0	1.0
CP000144_857601_857693	-2.1	-2.4
CP000144_942651_943015	-5.4	-2.4
CP000249_1271456_1271588	-1.3	-1.3
CP000249_1410438_1410575	-2.2	-0.4
CP000249_1798477_1798606	-0.5	-1.0
CP000249_2422730_2422886	0.4	-0.4
CP000249_2552941_2553153	1.4	0.9
CP000249_3847966_3848362	-1.3	-1.3
CP000249_4797940_4798189	-0.6	0.4
CP000249_5197015_5197167	-5.1	-2.8
CP000249_5256732_5256900	-1.3	-0.1
CP000249_5340751_5340877	-1.4	-0.5
CP000249_548147_548257	0.7	1.4
CP000249_810412_810517	-0.5	0.6
CP000249_889108_889294	0.2	0.3
CP000253_1201335_1201451	-1.3	-1.0
CP000253_1670698_1670760	-6.8	-7.0
CP000253_1734331_1734576	-2.0	-2.1
CP000253_1904455_1904670	-0.9	-0.5
CP000253_2127952_2128071	-1.0	-1.7
CP000253_2242338_2242630	-1.6	-1.4
CP000253_2300174_2300303	-1.6	-2.0
CP000253_2555792_2555932	0.2	0.3
CP000253_450372_450738	-4.6	-3.8
CP000253_492975_493098	-0.3	-0.1
CP000253_494651_495017	-4.5	-3.4
CP000253_519077_519286	-3.5	-3.0
CP000253_529860_529959	-0.7	-0.8
CP000253_530907_531031	-2.5	-1.8
CP000253_533111_533329	-5.6	-4.3
CP000253_748891_748953	-0.1	0.4
CP000253_777130_777184	-0.4	-0.4
CP000438_1498998_1499096	-2.5	-3.7
CP000438_2154641_2154737	-1.7	-3.7
CP000438_2244040_2244160	-0.5	-1.1
CP000438_2362160_2362501	-1.4	-2.7
CP000438_3675920_3676015	0.9	0.5
CP000438_3713501_3713607	-0.0	-0.3
CP000438_4464873_4464954	-0.8	-3.5
CP000438_5157963_5158032	-1.6	-0.4
CP000438_5288137_5288356	-2.4	-0.1
CP000438_6315761_6315880	-3.2	-1.7
CP000438_732702_733001	-3.7	-1.0
CP000438_734889_734981	-2.6	-3.9
CP000438_745545_745612	-0.9	0.2
CP000438_755071_755163	-0.5	-0.5
CP000438_759483_759559	-0.5	-0.4
CP000721_1572619_1572868	-1.3	-1.5
CP000721_1713744_1714065	-4.3	-6.1
CP000721_1832725_1833036	-2.5	-3.1
CP000721_191954_192115	-2.0	-2.8
CP000721_240228_240524	0.2	0.6
CP000721_2511924_2512215	0.8	-0.2
CP000721_268738_268855	0.3	-0.1
CP000721_277880_278088	0.7	-0.8
CP000721_284792_285176	-1.7	-2.4
CP000721_3106872_3107090	-4.3	-4.7
CP000721_3134597_3134747	-1.4	-0.4
CP000721_351928_352201	-0.2	0.2
CP000721_3710931_3711129	-2.6	-1.4
CP000721_40077_40334	-3.5	-3.9
CP000721_4444653_4444785	-6.9	-6.7
CP000721_4504675_4504906	1.1	1.2
CP000721_522147_522347	-1.7	-3.5
CP000721_5300020_5300131	0.1	-0.5
CP000721_5860231_5860342	0.3	-0.3
CP000721_615533_615620	0.3	0.2
CP000721_684026_684143	0.7	0.1
CP000721_791430_791718	-0.2	0.6
CP000721_838040_838283	0.8	0.3
CP000800_106932_106994	-1.4	-2.3
CP000800_1098712_1098868	-1.9	-1.7
CP000800_1212019_1212158	-2.7	-3.9
CP000800_1224744_1225051	-5.7	-4.4
CP000800_1228833_1229045	-3.9	-1.4
CP000800_1352645_1352797	-1.9	-1.6
CP000800_1430886_1431076	-3.8	-2.9
CP000800_1765871_1766061	-2.5	-3.8
CP000800_191227_191486	-7.1	-4.4
CP000800_1925568_1925916	-2.5	-2.3
CP000800_1926349_1926462	-2.0	-0.2
CP000800_200988_201111	-1.4	-4.4
CP000800_2128877_2128927	0.9	1.7
CP000800_24291_24395	-0.9	-0.6
CP000800_2879070_2879243	-1.8	-3.1
CP000800_2880783_2881050	-2.3	-4.4
CP000800_2979638_2979874	-3.2	-2.7
CP000800_3274930_3275146	-4.4	-6.5
CP000800_3758574_3758721	-1.1	-2.8
CP000800_3772361_3772430	-4.4	-4.4
CP000800_3786034_3786106	-2.0	-3.4
CP000800_3788219_3788317	-2.4	-2.1
CP000800_3788786_3788884	-0.4	-1.4
