RUF_ID	RNAfold_pvalue	RNALfold_pvalue
AE004969_2072794_2072887	0.6836827	0.6836827
AE004969_2122650_2122708	0.8721315	0.8721315
AE004969_2138229_2138448	0.9044713	0.8169941
AE004969_299400_299548	0.5615553	0.5615553
AE004969_334562_334759	0.4845043	0.914225
AE004969_341338_341525	0.3396295	0.2402431
AE004969_350631_350704	0.3083829	0.3083829
AE004969_388568_388661	0.26354	0.26354
AE004969_454810_454892	0.5863789	0.5863789
AE004969_471642_471837	0.252937	0.7411191
AE004969_496767_497110	0.4862552	0.4825784
AE004969_569205_569362	0.341057	0.3360029
AE004969_621836_622049	0.6674346	0.5004042
AE004969_625868_625990	0.7865445	0.7865445
AE004969_762724_762906	0.4682062	0.3812794
AE004969_785652_785741	0.5587858	0.5587858
AE004969_894609_894871	0.382289	0.6756776
AE004969_900467_900580	0.9922446	0.9922446
AE004969_906812_906916	0.5614608	0.5614608
AE008923_1117262_1117356	0.4451986	0.4451986
AE008923_1142850_1142930	0.635806	0.635806
AE008923_1146074_1146283	0.2291919	0.2677756
AE008923_1168414_1168491	0.6812638	0.6812638
AE008923_2320973_2321030	0.4674582	0.4674582
AE008923_3045081_3045312	0.001987326	0.0896853
AE008923_3350324_3350495	0.8345219	0.7850033
AE008923_3661751_3661962	0.7109957	0.6074921
AE008923_4178251_4178544	0.7437955	0.6804399
AE008923_4276805_4277002	0.9460003	0.888364
AE008923_4333197_4333259	0.9493429	0.9493429
AE008923_4579572_4579749	0.5536922	0.6560076
AE008923_4581610_4581911	0.3034279	0.1622075
AE008923_4626381_4626552	0.9145444	0.897331
AE008923_4700592_4700797	0.5932076	0.7423994
AE008923_4919255_4919454	0.2179846	0.5140675
AE008923_4946686_4946875	0.1315586	0.2216574
AE008923_5068810_5069012	0.007355027	0.01058806
AE008923_5070848_5071184	0.6497006	0.7997627
AE008923_5096351_5096419	0.1450901	0.1450901
AE008923_929766_930017	0.7862195	0.63482
AE014613_1190094_1190229	0.5410465	0.5410465
AE014613_1276595_1276723	0.1345934	0.1345934
AE014613_1397941_1397990	0.5641243	0.5641243
AE014613_1852667_1852755	0.5199808	0.5199808
AE014613_1892749_1892826	0.02182342	0.02182342
AE014613_2695422_2695501	0.3388914	0.3388914
AE014613_2697414_2697463	0.5443357	0.5443357
AE014613_2701853_2701903	0.5124775	0.5124775
AE014613_2702210_2702269	0.7193578	0.7193578
AE014613_2702450_2702523	0.8680192	0.8680192
AE014613_287126_287183	0.1152212	0.1152212
AE014613_3388901_3389185	0.8204886	0.7779961
AE014613_3427238_3427543	0.6842187	0.7680553
AE014613_3739102_3739161	0.09826211	0.09826211
AE014613_3763703_3763816	0.04718294	0.04718294
AE014613_4122170_4122292	0.226377	0.226377
AE014613_4198641_4198773	0.0934257	0.0934257
AE014613_4506812_4506883	0.3161443	0.3161443
AE014613_4790700_4790831	0.9451285	0.9451285
AE014613_4790860_4791031	0.3086427	0.2722373
AE014613_499318_499554	0.1607282	0.1590058
AE014613_681113_681178	0.6261421	0.6261421
AE014613_681313_681375	0.8903773	0.8903773
AE014613_724649_724714	0.7612073	0.7612073
AE014613_999785_999861	0.4239978	0.4239978
AE015451_1325325_1325479	0.218582	0.2120573
AE015451_171212_171364	0.8166871	0.8152282
AE015451_176623_176793	0.0002151308	0.0001881166
AE015451_1883243_1883426	0.3362542	0.2498634
AE015451_2548422_2548666	0.003914392	0.004278112
AE015451_524777_524928	0.9455409	0.9457809
AE015451_5312724_5312855	0.4530014	0.4530014
AE015451_536972_537026	0.6631053	0.6631053
AE015451_697630_697800	0.8052116	0.7472897
AE015924_1181202_1181445	0.713787	0.7969067
AE015924_1299026_1299170	0.515486	0.515486
AE015924_1320942_1321251	0.2103546	0.146418
AE015924_1344551_1344666	0.3787823	0.3787823
AE015924_1349292_1349367	0.826709	0.826709
AE015924_1495257_1495346	0.2693843	0.2693843
AE015924_1710568_1710821	0.2549665	0.2664266
AE015924_1758418_1758557	0.03772914	0.03772914
AE015924_1771573_1771779	0.3161868	0.7051831
AE015924_1786017_1786171	0.2590561	0.2507602
AE015924_1964962_1965172	0.8428796	0.7283972
AE015924_2058306_2058621	0.1216836	0.4669402
AE015924_2067691_2067862	0.3445188	0.3003243
AE015924_422188_422353	0.5800657	0.5455509
AE015924_524958_525074	0.5318509	0.5318509
AE015924_615236_615385	0.4504131	0.4504131
AE016877_110316_110485	0.838272	0.8117856
AE016877_139648_139830	0.7420449	0.7000212
AE016877_155613_155847	0.6229914	0.864027
AE016877_3782852_3782954	0.3378368	0.3378368
AE016877_4519981_4520134	0.3853105	0.3837924
AE016877_4803926_4804169	0.6078478	0.6727253
AE016877_514492_514735	0.8861775	0.8535524
AE016877_722915_723160	0.1376217	0.04856569
AE016877_86691_86935	0.4357235	0.3768843
AE017194_104798_104967	0.3800013	0.3335372
AE017194_116972_117180	0.1323647	0.2713657
AE017194_120775_120939	0.8717006	0.8465229
AE017194_4776918_4777058	0.6758769	0.6758769
AE017194_5038196_5038316	0.9392951	0.9392951
AE017194_5211696_5211889	0.9811895	0.9654899
AE017225_1014336_1014551	0.2992607	0.4628706
AE017225_1016890_1017025	0.7939913	0.7939913
AE017225_105393_105572	0.6667729	0.6035527
AE017225_106996_107065	0.02328702	0.02328702
AE017225_107423_107499	0.9323109	0.9323109
AE017225_1155029_1155158	0.9310866	0.9310866
AE017225_115934_116050	0.8534773	0.8534773
AE017225_116971_117180	0.561933	0.682587
AE017225_119257_119376	0.08099351	0.08099351
AE017225_120763_120963	0.8415888	0.7542737
AE017225_1224435_1224572	0.008282455	0.008282455
AE017225_123734_123796	0.2913133	0.2913133
AE017225_1273285_1273436	0.1940216	0.1928698
AE017225_131439_131497	0.5253078	0.5253078
AE017225_132892_132962	0.5667517	0.5667517
AE017225_134129_134311	0.4131688	0.3187105
AE017225_138995_139149	0.223204	0.2227434
AE017225_2727456_2727511	0.9376686	0.9376686
AE017225_3300338_3300556	0.9013921	0.8106448
AE017225_359347_359403	0.2746172	0.2746172
AE017225_3604842_3604933	0.8801299	0.8801299
AE017225_3622719_3622821	0.3118699	0.3118699
AE017225_3659216_3659318	0.4977345	0.4977345
AE017225_3666894_3666965	0.3419866	0.3419866
AE017225_3825891_3826090	0.7672008	0.6734476
AE017225_3826012_3826102	0.3609108	0.3609108
AE017225_3826286_3826612	0.641295	0.7118804
AE017225_3872119_3872446	0.80891	0.7746733
AE017225_4001722_4001811	0.7724073	0.7724073
AE017225_4329164_4329244	0.754975	0.754975
AE017225_4379674_4379745	0.5091497	0.5091497
AE017225_4402019_4402166	0.903193	0.903193
AE017225_4631928_4631999	0.7604198	0.7604198
AE017225_4733484_4733534	0.8828632	0.8828632
AE017225_5040548_5040669	0.8260377	0.8260377
AE017225_5063028_5063147	0.5450749	0.5450749
AE017225_5074649_5074761	0.1561898	0.1561898
AE017225_5076873_5076981	0.5607564	0.5607564
AE017225_84130_84195	0.5912146	0.5912146
AE017354_1344328_1344443	0.01065841	0.01065841
AE017354_1478050_1478134	0.5391482	0.5391482
AE017354_2079445_2079538	0.2608453	0.2608453
AE017354_2080005_2080111	0.02452375	0.02452375
AE017354_2099288_2099346	0.8645133	0.8645133
AE017354_2558031_2558081	0.244547	0.244547
AE017354_2590887_2590949	0.825883	0.825883
AE017354_2593420_2593762	0.1050919	0.0532634
AE017354_2594083_2594147	0.95906	0.95906
AE017354_2663499_2663703	0.6776222	0.5317529
AE017354_3064806_3065044	0.7888159	0.6562129
AE017354_3065432_3065605	0.3467957	0.3066437
AE017354_3068332_3068505	0.5636467	0.5056707
AE017354_3141700_3141772	0.198366	0.198366
AE017354_3292177_3292395	0.06897512	0.02890197
AE017354_3294671_3294815	0.03663862	0.03663862
AE017354_3303386_3303691	0.04258604	0.04804754
AE017354_3350906_3350980	0.7318223	0.7318223
AE017354_3380170_3380223	0.7282315	0.7282315
AE017354_361402_361477	0.507698	0.507698
AE017354_364838_364945	0.3496979	0.3496979
AE017354_365019_365093	0.8921827	0.8921827
AE017354_365270_365324	0.7933038	0.7933038
AE017354_366623_366684	0.1046809	0.1046809
AE017354_368944_369118	0.6918988	0.6249687
AE017354_370061_370154	0.1656052	0.1656052
AE017354_385650_385873	0.8589491	0.7174226
AE017354_413184_413498	0.1048141	0.02104512
AE017354_465888_465997	0.1661892	0.1661892
AE017354_466238_466346	0.964662	0.964662
AE017354_491985_492129	0.6627779	0.6627779
AE017354_539693_539775	0.05860219	0.05860219
AE017354_600538_600718	0.1783515	0.1224046
AE017354_609762_609837	0.507698	0.507698
AE017354_6900_7270	0.9929791	0.9934472
AE017354_72674_72781	0.9377001	0.9377001
AE017354_807220_807399	0.4977093	0.4134399
AE017354_80859_81032	0.5603682	0.529998
AL123456_100449_100582	0.01893094	0.01893094
AL123456_1015298_1015397	0.8641238	0.8641238
AL123456_1016710_1016844	0.1090465	0.1090465
AL123456_1017131_1017202	0.5497702	0.5497702
AL123456_1023875_1024170	0.7725837	0.6968162
AL123456_1024162_1024229	0.8134199	0.8134199
AL123456_1024240_1024302	0.8551281	0.8551281
AL123456_1025400_1025449	0.5040132	0.5040132
AL123456_1026911_1027056	0.05377674	0.05377674
AL123456_1029358_1029512	0.524085	0.5121774
AL123456_11023_11096	0.2737316	0.2737316
AL123456_1197250_1197326	0.6817749	0.6817749
AL123456_1453011_1453175	0.9010371	0.8813267
AL123456_1851993_1852272	0.6009716	0.7341409
AL123456_2007047_2007187	0.3605158	0.3605158
AL123456_2489145_2489207	0.789772	0.789772
AL123456_2516895_2516994	0.6598847	0.6598847
AL123456_2955436_2955540	0.665544	0.665544
AL123456_3243405_3243575	0.3544022	0.284857
AL123456_3331783_3332162	0.2511021	0.05350602
AL123456_3415074_3415271	0.3937589	0.4826094
AL123456_3557017_3557211	0.3742878	0.2732886
AL123456_3557208_3557327	0.3937378	0.3937378
AL123456_3837387_3837455	0.6737319	0.6737319
AL123456_3895715_3895804	0.1851341	0.1851341
AL123456_3907403_3907528	0.8378811	0.8378811
AL123456_4105673_4105862	0.8030831	0.7401356
AL123456_665510_665755	0.4847152	0.5145043
AL123456_759587_759784	0.2637553	0.1416484
AL123456_780991_781074	0.230756	0.230756
AL123456_789629_789782	0.1919834	0.182283
AL123456_937960_938247	0.7319064	0.7665103
AL123456_968275_968389	0.1807946	0.1807946
AM180355_102373_102483	0.2350717	0.2350717
AM180355_102790_102883	0.6448963	0.6448963
AM180355_1028374_1028482	0.8332851	0.8332851
AM180355_1030347_1030461	0.1857774	0.1857774
AM180355_1159865_1160106	0.5155101	0.297003
AM180355_122676_122768	0.2348814	0.2348814
AM180355_1250740_1250839	0.3558609	0.3558609
AM180355_1251683_1251771	0.705729	0.705729
AM180355_1259865_1260134	0.9859068	0.9153392
AM180355_130443_130526	0.8817983	0.8817983
AM180355_1333792_1333893	0.9366319	0.9366319
AM180355_1335188_1335298	0.7607378	0.7607378
AM180355_1348594_1348686	0.4227935	0.4227935
AM180355_1354005_1354131	0.2171247	0.2171247
AM180355_1356810_1356875	0.6939209	0.6939209
AM180355_1361115_1361217	0.3515284	0.3515284
AM180355_1361158_1361232	0.4804469	0.4804469
AM180355_1364133_1364205	0.8192225	0.8192225
AM180355_1412453_1412596	0.6162158	0.6162158
AM180355_1412471_1412596	0.5837084	0.5837084
AM180355_1448206_1448299	0.4930899	0.4930899
AM180355_1457769_1457835	0.2126154	0.2126154
AM180355_174219_174392	0.7531551	0.7107107
AM180355_1760814_1761142	0.8989546	0.8795685
AM180355_1760894_1761141	0.09493866	0.07982754
AM180355_1766679_1766903	0.1582939	0.2415184
AM180355_1766775_1766903	0.5168153	0.5168153
AM180355_17750_17804	0.1657836	0.1657836
AM180355_180259_180592	0.3784419	0.9445342
AM180355_180298_180570	0.7269149	0.7989326
AM180355_1963098_1963249	0.1046052	0.1050478
AM180355_20173_20391	0.714613	0.5213458
AM180355_2025820_2026037	0.2533782	0.3773923
AM180355_236661_236791	0.6600244	0.6600244
AM180355_2500484_2500592	0.3897119	0.3897119
AM180355_2516810_2517043	0.5080247	0.3533246
AM180355_2518510_2518743	0.8794647	0.7707123
AM180355_2735113_2735261	0.03162915	0.03162915
AM180355_2821825_2821989	0.6627203	0.6365671
AM180355_2901721_2901817	0.008905773	0.008905773
AM180355_3015607_3015838	0.8651877	0.7604217
AM180355_3081391_3081580	0.6526582	0.9292841
AM180355_3102225_3102564	0.3388174	0.4700012
AM180355_31282_31374	0.4829614	0.4829614
AM180355_3303273_3303374	0.1811694	0.1811694
AM180355_3800670_3800921	0.8835243	0.8799938
AM180355_38461_38524	0.525556	0.525556
AM180355_391201_391384	0.4825982	0.4722187
AM180355_4063794_4063900	0.2698103	0.2698103
AM180355_4085013_4085103	0.3828294	0.3828294
AM180355_4109636_4109793	0.06388504	0.06163155
AM180355_4216802_4216928	0.5829678	0.5829678
AM180355_4274315_4274371	0.8186653	0.8186653
AM180355_4275719_4275822	0.5925659	0.5925659
AM180355_4282126_4282218	0.3803058	0.3803058
AM180355_4289997_4290248	0.6809314	0.8621093
AM180355_466362_466653	0.5360217	0.7999278
AM180355_48005_48085	0.478787	0.478787
AM180355_49209_49290	0.2481388	0.2481388
AM180355_61493_61666	0.006685042	0.003506916
AM180355_619001_619228	0.1982718	0.2410897
AM180355_63414_63803	0.5859045	0.4395033
AM180355_72924_73283	0.6229549	0.5606775
AM180355_76943_76999	0.2509727	0.2509727
AM180355_831958_832015	0.4803116	0.4803116
AM180355_83666_83740	0.3367244	0.3367244
AM180355_85100_85181	0.7116108	0.7116108
AM180355_864860_865180	0.9549337	0.8331634
AM180355_864864_865034	0.9176283	0.8963273
AM180355_86611_86667	0.7055129	0.7055129
AM180355_87368_87586	0.9657471	0.9625619
AM180355_88088_88162	0.7781808	0.7781808
AM180355_897402_897553	0.7615993	0.7614777
AM180355_962613_962700	0.3708438	0.3708438
AM180355_97487_97687	0.9305679	0.8926296
AM180355_981076_981246	0.001914242	0.001344979
AM180355_981079_981246	0.3254866	0.2976147
AM180355_98705_98770	0.3050908	0.3050908
AM743169_1032370_1032476	0.005871319	0.005871319
AM743169_1322020_1322077	0.8902134	0.8902134
AM743169_1412972_1413046	0.6043991	0.6043991
AM743169_1816876_1816936	0.1911005	0.1911005
AM743169_2066744_2066830	0.1095411	0.1095411
AM743169_2957760_2957880	0.01231491	0.01231491
AM743169_4794935_4795270	0.824419	0.9163163
AM743169_546852_546995	0.5200842	0.5200842
AM743169_558188_558295	0.2269702	0.2269702
AM743169_558993_559085	0.5763215	0.5763215
AM743169_936300_936357	0.5225264	0.5225264
AM743169_940551_940901	0.8631547	0.8452641
AM743169_955453_955771	0.6742678	0.942394
AM942759_1100745_1100841	0.4513913	0.4513913
AM942759_2454040_2454437	0.7725046	0.7168557
AM942759_3062558_3062623	0.6534123	0.6534123
AM942759_3064581_3064728	0.7120051	0.7120051
AM942759_3067114_3067183	0.6489322	0.6489322
AM942759_3365567_3365626	0.2893566	0.2893566
AM942759_3569587_3569986	0.2656316	0.122894
AM942759_3579522_3579609	0.4359384	0.4359384
AM942759_3579760_3579886	0.1371975	0.1371975
AM942759_783534_783717	0.3712645	0.3765551
AM942759_785389_785455	0.08249145	0.08249145
AM942759_947339_947482	0.7647	0.7647
AP009380_105489_105574	0.2777707	0.2777707
AP009380_1279426_1279600	0.4342962	0.3792177
AP009380_1400753_1400836	0.418007	0.418007
AP009380_1565039_1565131	0.5064783	0.5064783
AP009380_1771296_1771361	0.5258621	0.5258621
AP009380_1813598_1813722	0.9067604	0.9067604
AP009380_1954647_1954706	0.1226329	0.1226329
AP009380_2018162_2018364	0.1597886	0.313605
AP009380_2019260_2019415	0.9174037	0.9148479
AP009380_2026490_2026540	0.7561331	0.7561331
AP009380_2050508_2050600	0.4000972	0.4000972
AP009380_2054817_2054945	0.1038536	0.1038536
AP009380_2071627_2071773	0.821875	0.821875
AP009380_2087615_2087689	0.9283859	0.9283859
AP009380_2128844_2128962	0.9050174	0.9050174
AP009380_2238174_2238455	0.427984	0.6450308
AP009380_2290945_2291145	0.2670865	0.2963671
AP009380_2336253_2336324	0.01853125	0.01853125
AP009380_254498_254611	0.00918361	0.00918361
AP009380_308277_308550	0.8879701	0.6708006
AP009380_356949_357047	0.7790616	0.7790616
AP009380_484745_484835	0.7403256	0.7403256
AP009380_498626_498703	0.2255688	0.2255688
AP009380_500489_500579	0.8986746	0.8986746
AP009380_542134_542223	0.933306	0.933306
AP009380_771514_771609	0.1090618	0.1090618
AP009380_794960_795029	0.165868	0.165868
AP009380_824785_824914	0.7386201	0.7386201
AP009380_826209_826259	0.3477096	0.3477096
AP009380_854756_854988	0.516661	0.3578558
BX548174_1104481_1104654	0.686311	0.6502884
BX548174_1246641_1246729	0.5962118	0.5962118
BX548174_1295893_1296040	0.6913207	0.6913207
BX548174_1321883_1321971	0.9028057	0.9028057
BX548174_1375647_1375865	0.3284436	0.7570093
BX548174_1390123_1390193	0.0691929	0.0691929
BX548174_1446318_1446429	0.8300309	0.8300309
BX548174_1481942_1482016	0.8754772	0.8754772
BX548174_1549740_1549886	0.1390282	0.1390282
BX548174_195990_196142	0.9278175	0.9271643
BX548174_241751_241940	0.5662541	0.6827198
BX548174_258667_258842	0.2926003	0.3389637
BX548174_300244_300339	0.1491569	0.1491569
BX548174_323953_324059	0.4575053	0.4575053
BX548174_324243_324344	0.8267459	0.8267459
BX548174_390563_390656	0.4224812	0.4224812
BX548174_414313_414483	0.9567029	0.9455964
BX548174_451451_451542	0.3619103	0.3619103
BX548174_470304_470553	0.7278712	0.572717
BX548174_520500_520591	0.3836084	0.3836084
BX548174_540152_540286	0.756911	0.756911
BX548174_626760_626919	0.6075973	0.5917242
BX548174_656607_656703	0.6199697	0.6199697
BX548174_713325_713477	0.5985753	0.6994
BX548174_942258_942407	0.5287547	0.5287547
BX548174_979900_979965	0.9960387	0.9960387
BX548174_980123_980195	0.6539687	0.6539687
CP000100_1170773_1170842	0.2597404	0.2597404
CP000100_1274258_1274437	0.2786806	0.2273827
CP000100_1421165_1421237	0.4058229	0.4058229
CP000100_1421317_1421474	0.8338701	0.8157686
CP000100_1536910_1536985	0.7102167	0.7102167
CP000100_1838650_1838755	0.3739922	0.3739922
CP000100_219869_219926	0.1393772	0.1393772
CP000100_2281075_2281199	0.3865238	0.3865238
CP000100_2288886_2288961	0.9245504	0.9245504
CP000100_2299516_2299795	0.07026127	0.08614076
CP000100_2432877_2432950	0.8989576	0.8989576
CP000100_2596654_2596718	0.1712294	0.1712294
CP000100_2622882_2623090	0.8022175	0.8110585
CP000100_2638186_2638475	0.1947313	0.5465219
CP000100_323413_323780	0.1483442	0.1188237
CP000100_340129_340287	0.8505024	0.8349077
CP000100_403898_404015	0.1337735	0.1337735
CP000100_643964_644173	0.08124392	0.03961931
CP000143_1218673_1218790	0.006492535	0.006492535
CP000143_1468_1574	0.7898392	0.7898392
CP000143_1945_2129	0.5651716	0.6084613
CP000143_2592842_2592959	0.04538951	0.04538951
CP000143_290940_291030	0.2826096	0.2826096
CP000143_2919718_2919877	0.7022035	0.6675438
CP000143_292190_292422	0.03890452	0.02118817
CP000143_2958269_2958350	0.8687313	0.8687313
CP000143_303213_303420	0.9127069	0.9337587
CP000143_319699_319836	0.8411371	0.8411371
CP000143_509154_509289	0.1026134	0.1026134
CP000143_792577_792831	0.01278005	0.0546388
CP000144_1470_1633	0.7101741	0.7196997
CP000144_16272_16435	0.481564	0.4273288
CP000144_1931_2131	0.6009835	0.5698025
CP000144_238502_238725	0.5458635	0.3397533
CP000144_33597_33674	0.09850546	0.09850546
CP000144_35144_35306	0.3448636	0.2880469
CP000144_35603_35803	0.8683833	0.7952878
CP000144_683392_683495	0.9105712	0.9105712
CP000144_857601_857693	0.7111652	0.7111652
CP000144_942651_943015	0.2112738	0.03169749
CP000249_1271456_1271588	0.1258201	0.1258201
CP000249_1410438_1410575	0.8510922	0.8510922
CP000249_1798477_1798606	0.3493162	0.3493162
CP000249_2422730_2422886	0.9519279	0.9475335
CP000249_2552941_2553153	0.6271427	0.7780091
CP000249_3847966_3848362	0.1735052	0.3836399
CP000249_4797940_4798189	0.4436021	0.2731451
CP000249_5197015_5197167	0.895516	0.8884674
CP000249_5256732_5256900	0.6941098	0.8331748
CP000249_5340751_5340877	0.550568	0.550568
CP000249_548147_548257	0.01354434	0.01354434
CP000249_810412_810517	0.968617	0.968617
CP000249_889108_889294	0.2951597	0.6551675
CP000253_1201335_1201451	0.3809578	0.3809578
CP000253_1670698_1670760	0.2703591	0.2703591
CP000253_1734331_1734576	0.8360717	0.6605769
CP000253_1904455_1904670	0.0292077	0.010782
CP000253_2127952_2128071	0.9575429	0.9575429
CP000253_2242338_2242630	0.6669287	0.8565794
CP000253_2300174_2300303	0.5677261	0.5677261
CP000253_2555792_2555932	0.461661	0.461661
CP000253_450372_450738	0.05325945	0.1234678
CP000253_492975_493098	0.8042521	0.8042521
CP000253_494651_495017	0.05325945	0.1234678
CP000253_519077_519286	0.7815312	0.6718574
CP000253_529860_529959	0.2376113	0.2376113
CP000253_530907_531031	0.1290862	0.1290862
CP000253_533111_533329	0.5752179	0.7078948
CP000253_748891_748953	0.7398137	0.7398137
CP000253_777130_777184	0.1757115	0.1757115
CP000438_1498998_1499096	0.4138223	0.4138223
CP000438_2154641_2154737	0.6071674	0.6071674
CP000438_2244040_2244160	0.3072469	0.3072469
CP000438_2362160_2362501	0.333118	0.1665901
CP000438_3675920_3676015	0.9783737	0.9783737
CP000438_3713501_3713607	0.4250925	0.4250925
CP000438_4464873_4464954	0.6094836	0.6094836
CP000438_5157963_5158032	0.7753205	0.7753205
CP000438_5288137_5288356	0.172064	0.2474791
CP000438_6315761_6315880	0.9207056	0.9207056
CP000438_732702_733001	0.6673945	0.558577
CP000438_734889_734981	0.3521997	0.3521997
CP000438_745545_745612	0.7636676	0.7636676
CP000438_755071_755163	0.8047241	0.8047241
CP000438_759483_759559	0.4611135	0.4611135
CP000721_1572619_1572868	0.4161479	0.4100484
CP000721_1713744_1714065	0.4129827	0.2008728
CP000721_1832725_1833036	0.8948788	0.8561432
CP000721_191954_192115	0.677619	0.6500463
CP000721_240228_240524	0.6423946	0.3806475
CP000721_2511924_2512215	0.2050785	0.1143571
CP000721_268738_268855	0.881593	0.881593
CP000721_277880_278088	0.5875463	0.4635932
CP000721_284792_285176	0.6396909	0.6022575
CP000721_3106872_3107090	0.7370088	0.7374127
CP000721_3134597_3134747	0.9273667	0.9273667
CP000721_351928_352201	0.0340926	0.02231613
CP000721_3710931_3711129	0.7513663	0.7792331
CP000721_40077_40334	0.2784294	0.2375971
CP000721_4444653_4444785	0.3222264	0.3222264
CP000721_4504675_4504906	0.4049566	0.2433172
CP000721_522147_522347	0.6545562	0.7684716
CP000721_5300020_5300131	0.477349	0.477349
CP000721_5860231_5860342	0.2955429	0.2955429
CP000721_615533_615620	0.268662	0.268662
CP000721_684026_684143	0.05237349	0.05237349
CP000721_791430_791718	0.2068265	0.4520548
CP000721_838040_838283	0.7571392	0.7803904
CP000800_106932_106994	0.6609366	0.6609366
CP000800_1098712_1098868	0.9288111	0.9236629
CP000800_1212019_1212158	0.1556939	0.1556939
CP000800_1224744_1225051	0.1444143	0.3326983
CP000800_1228833_1229045	0.5545487	0.7447241
CP000800_1352645_1352797	0.009357005	0.009079579
CP000800_1430886_1431076	0.95096	0.9395889
CP000800_1765871_1766061	0.05788953	0.04161699
CP000800_191227_191486	0.5408943	0.6800074
CP000800_1925568_1925916	0.6730079	0.5702081
CP000800_1926349_1926462	0.5982005	0.5982005
CP000800_200988_201111	0.5743815	0.5743815
CP000800_2128877_2128927	0.2493144	0.2493144
CP000800_24291_24395	0.2234101	0.2234101
CP000800_2879070_2879243	0.8141243	0.8327829
CP000800_2880783_2881050	0.9885314	0.9669652
CP000800_2979638_2979874	0.4710946	0.2784561
CP000800_3274930_3275146	0.3234551	0.2379913
CP000800_3758574_3758721	0.7151246	0.7151246
CP000800_3772361_3772430	0.1440822	0.1440822
CP000800_3786034_3786106	0.1776679	0.1776679
CP000800_3788219_3788317	0.1682783	0.1682783
CP000800_3788786_3788884	0.7511278	0.7511278
CP000800_4127608_4127826	0.4116934	0.672871
CP000800_4240156_4240208	0.9330399	0.9330399
CP000800_4242779_4242842	0.4357455	0.4357455
CP000800_4259063_4259190	0.3419383	0.3419383
CP000800_4287469_4287601	0.8693787	0.8693787
CP000800_4360639_4360929	0.01441478	0.002199706
CP000800_4454567_4454711	0.8105568	0.8105568
CP000800_4512580_4512698	0.2798085	0.2798085
CP000800_4512853_4512969	0.4324194	0.4324194
