Species	EMBL	Experiment_ID	Dataset_ID	Strand_Correlation	Core_CDS_On	Core_Rfam_On	Annot_Concordance	Coverage	Fraction_mapped_reads
Pseudomonas_aeruginosa_PAO1	AE004091.2	SRP011370	SRR441575	7.847411e-05	0	0.694444	0.0146191	0.0008	0.53705832375431056024
Pseudomonas_aeruginosa_PAO1	AE004091.2	SRP011370	SRR441576	0.9396478	0	0.5	0.015852	0.0007	0.36178814831927919602
Pseudomonas_aeruginosa_PAO1	AE004091.2	SRP013960	SRR518528	0.8794896	0.95	0.583333	0.625451	0.2590	0.92681050806032246419
Pseudomonas_aeruginosa_PAO1	AE004091.2	SRP013960	SRR518529	0.9002844	1	0.680556	0.682695	0.7635	0.99247796394310028083
Pseudomonas_aeruginosa_PAO1	AE004091.2	SRP013960	SRR518530	0.9046529	1	0.708333	0.695729	0.3877	0.99178055338202068915
Pseudomonas_aeruginosa_PAO1	AE004091.2	SRP013960	SRR518533	0.001383765	0.975	0.986111	0.818054	0.6330	0.84696820536371886462
Pseudomonas_aeruginosa_PAO1	AE004091.2	SRP013960	SRR519062	0.7200333	1	0.972222	0.61277	0.4018	0.76445491483725762478
Pseudomonas_aeruginosa_PAO1	AE004091.2	SRP013960	SRR519063	0.8594082	0.975	0.680556	0.690445	0.6115	0.99131492817767491050
Pseudomonas_aeruginosa_PA14	CP000438.1	SRP009257	SRR363800	-0.003885438	0.975	0.901408	0.760793	0.2027	0.92441215633382593675
Pseudomonas_aeruginosa_PA14	CP000438.1	SRP009257	SRR363801	-0.002817154	0.95	0.901408	0.713102	0.1642	0.94233007973038183569
Pseudomonas_aeruginosa_PA14	CP000438.1	SRP009257	SRR363802	-0.002055518	0.825	0.943662	0.611697	0.1087	0.93906945399755723844
Pseudomonas_aeruginosa_PA14	CP000438.1	SRP009257	SRR363803	-0.001499647	0.775	0.971831	0.565512	0.0728	0.94634496554274717105
Pseudomonas_aeruginosa_PA14	CP000438.1	SRP009257	SRR363804	-0.0009273418	0.775	0.971831	0.178297	0.0138	0.93279277938113170095
Pseudomonas_aeruginosa_PA14	CP000438.1	SRP009257	SRR363805	-0.0008018811	0.85	0.985915	0.254936	0.0201	0.93200992198920977135
Pseudomonas_aeruginosa_PA14	CP000438.1	SRP009257	SRR363806	-0.00106529	0.825	1	0.344461	0.0301	0.92080123261778957644
Pseudomonas_aeruginosa_PA14	CP000438.1	SRP009257	SRR363807	-0.001403051	0.9	1	0.495566	0.0476	0.94484841756058453225
Pseudomonas_aeruginosa_PA14	CP000438.1	SRP011370	SRR441577	0.0001888891	0	0.802817	0.0153949	0.0009	0.47763014737397382216
Pseudomonas_aeruginosa_PA14	CP000438.1	SRP011370	SRR441578	0.978566	0	0.661972	0.0200803	0.0009	0.49232532191429691505
Proteus_mirabilis	AM942759.1	SRP007516	SRR314890	0.7018131	0.95	0.633333	0.659173	0.2063	0.64352712009130388799
Proteus_mirabilis	AM942759.1	SRP007516	SRR314891	0.6960362	0.95	0.6	0.652538	0.2980	0.64349131296088484069
Proteus_mirabilis	AM942759.1	SRP007516	SRR314892	0.7459967	0.975	0.622222	0.667189	0.3029	0.65906501285932871048
Proteus_mirabilis	AM942759.1	SRP007516	SRR314893	0.6846726	0.95	0.6	0.620566	0.2526	0.65991808576166008265
Prochlorococcus_marinus_MED4_CCMP1986	BX548174.1	SRP011374	SRR441714	0.7732471	0.85	0.372093	0.736059	0.4851	0.98434909286137001174
Prochlorococcus_marinus_MED4_CCMP1986	BX548174.1	SRP011374	SRR441715	0.9338973	0.825	0.348837	0.700124	0.1360	0.98644032192675245527
Porphyromonas_gingivalis_W83	AE015924.1	SRP007420	SRR307053	-0.003475412	0.842105	1	0.668055	0.1214	0.21560677159032709051
Porphyromonas_gingivalis_W83	AE015924.1	SRP007420	SRR307054	-0.006149011	0.894737	1	0.871632	0.3082	0.29810338453753768028
Porphyromonas_gingivalis_W83	AE015924.1	SRP007420	SRR307055	-0.01123367	0.868421	1	0.891475	0.5523	0.95071011904533017212
Porphyromonas_gingivalis_ATCC_33277	AP009380.1	SRP009641	SRR387923	0.6678981	0.820513	0.490909	0.730922	0.7909	0.05616512177398020495
Porphyromonas_gingivalis_ATCC_33277	AP009380.1	SRP009641	SRR387924	0.5430354	0.820513	0.345455	0.670509	0.8582	0.13149883794553825792
Porphyromonas_gingivalis_ATCC_33277	AP009380.1	SRP009641	SRR387925	0.3857547	0.820513	0.327273	0.655008	0.6942	0.04295698680904077641
Porphyromonas_gingivalis_ATCC_33277	AP009380.1	SRP009641	SRR387926	0.7259807	0.871795	0.618182	0.652623	0.6837	0.09339020064989202034
Porphyromonas_gingivalis_ATCC_33277	AP009380.1	SRP009641	SRR387927	0.7170822	0.820513	0.672727	0.650636	0.8584	0.24021878464158212188
Porphyromonas_gingivalis_ATCC_33277	AP009380.1	SRP009641	SRR387928	0.4837919	0.846154	0.381818	0.649841	0.8182	0.07705942132817454947
Porphyromonas_gingivalis_ATCC_33277	AP009380.1	SRP009641	SRR387929	0.442448	0.820513	0.418182	0.737281	0.8052	0.03277644652505032288
Porphyromonas_gingivalis_ATCC_33277	AP009380.1	SRP009641	SRR387930	0.4238791	0.846154	0.472727	0.63752	0.7515	0.06344236023388833414
Porphyromonas_gingivalis_ATCC_33277	AP009380.1	SRP009641	SRR387931	0.6104701	0.820513	0.472727	0.718601	0.8328	0.07930082266242847390
Porphyromonas_gingivalis_ATCC_33277	AP009380.1	SRP009641	SRR387932	0.4302371	0.846154	0.345455	0.657393	0.7528	0.05370699404953154519
Ignicoccus_hospitalis	AE017199.1	SRP013830	SRR514574	-0.01496467	0.289474	0.324324	0.918404	0.0562	0.10856329854907100994
Ignicoccus_hospitalis	AE017199.1	SRP013830	SRR514575	-0.01548676	0.289474	0.405405	0.918404	0.0581	0.10862671725343450686
Ignicoccus_hospitalis	AE017199.1	SRP013830	SRR514576	-0.01434737	0.315789	0.324324	0.909338	0.0582	0.10825424357204803710
Ignicoccus_hospitalis	AE017199.1	SRP013830	SRR514577	-0.0152577	0.263158	0.324324	0.922031	0.0551	0.10659093653413893474
Ignicoccus_hospitalis	AE017199.1	SRP013830	SRR514578	-0.01065447	0.263158	0.351351	0.836809	0.0118	0.10872444241625473495
Mycoplasma_pneumoniae_M129	U00089.2	SRP000937	SRR019711	-0.007331418	0.324324	0.692308	0.377246	0.0605	0.96989171449192348451
Mycoplasma_pneumoniae_M129	U00089.2	SRP000937	SRR019712	-0.007603879	0.567568	0.461538	0.524285	0.1122	0.94564813100372436088
Mycoplasma_pneumoniae_M129	U00089.2	SRP000937	SRR019713	-0.008923979	0.594595	0.615385	0.6833	0.2486	0.94917939491754033061
Mycoplasma_pneumoniae_M129	U00089.2	SRP000937	SRR019714	-0.008320005	0.540541	0.641026	0.608117	0.1673	0.98494255983796004744
Mycoplasma_pneumoniae_M129	U00089.2	SRP000937	SRR019715	-0.007961344	0.27027	0.538462	0.365269	0.0527	0.98377932535962621195
Mycoplasma_pneumoniae_M129	U00089.2	SRP000937	SRR019716	-0.007668933	0.108108	0.333333	0.190286	0.0529	0.96885320895466359171
Mycoplasma_pneumoniae_M129	U00089.2	SRP000937	SRR020510	-0.0004786623	0	0	0	0.0000	0.00000767009844571355
Mycoplasma_pneumoniae_M129	U00089.2	SRP000937	SRR029642	0.007241394	0	0	0	0.0003	0.00001992835209392551
Mycoplasma_pneumoniae_M129	U00089.2	SRP000937	SRR060824	0.04533656	0	0	0	0.0021	0.00019936661736302029
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073604	0.7735742	0.825	0.181818	0.692077	0.1090	0.94736190186705128895
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073605	0.650647	0.75	0.454545	0.33052	0.0564	0.94972858765675126640
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073606	0.2599141	0	0.0909091	0.0130683	0.0054	0.94770670505964623611
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073607	0.725639	0.625	0.515152	0.300027	0.0503	0.96446174847606822892
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073608	0.702816	0.8	0.242424	0.62129	0.0825	0.82496379194149772126
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073609	0.7083996	0.825	0.30303	0.626736	0.0845	0.82471035145891453481
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073610	0.6798904	0	0.0606061	0.0228696	0.0058	0.97306358213720737848
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073611	0.9674739	0.875	0.0909091	0.679009	0.3663	0.99584066522916382511
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073612	0.5960783	0.275	0.484848	0.199837	0.0255	0.97164284034001568624
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073613	0.6298306	0.3	0.242424	0.242309	0.0465	0.92033845772163690637
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073614	0.7347712	0.85	0.575758	0.738361	0.1244	0.87741175967722955886
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073615	0.6073851	0.225	0.30303	0.481895	0.0515	0.93990376085651178726
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073616	0.6455622	0.825	0.606061	0.37517	0.0564	0.93478654168513532978
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073617	0.7428874	0.1	0.242424	0.219984	0.0330	0.95188575360772625136
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073618	0.1882596	0	0.0606061	0.0168799	0.0042	0.95712352362204724409
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073619	0.5704882	0.175	0.424242	0.217806	0.0380	0.93706470541638992645
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073620	0.7807293	0.5	0.363636	0.277158	0.0536	0.89646539489530495202
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073621	0.7380127	0.075	0.212121	0.211271	0.0324	0.95159645534994235070
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073622	0.5961212	0.675	0.545455	0.492241	0.0526	0.92515892032568252108
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073623	0.6529458	0.825	0.515152	0.37517	0.0570	0.93567131264249456816
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073624	0.6352191	0.725	0.484848	0.614756	0.0835	0.98816743941745008009
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073625	0.5991571	0.1	0.212121	0.176423	0.0264	0.94886568292210844539
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073626	0.7454679	0.85	0.30303	0.716036	0.1205	0.97595636852401336031
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073627	0.3027775	0	0.0909091	0.019058	0.0061	0.95643526915454590018
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073628	0.2514059	0	0.0909091	0.0326708	0.0064	0.94634637136018097167
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073629	0.5486876	0.225	0.515152	0.19657	0.0331	0.90295228226354069765
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073630	0.6771566	0.15	0.0909091	0.158998	0.0242	0.95564781856816967928
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073631	0.6244141	0.475	0.212121	0.264634	0.0410	0.96886959928393051174
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073632	0.2206308	0	0.0606061	0.0266812	0.0062	0.92738994075967011267
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073633	0.5669886	0.525	0.30303	0.322897	0.0574	0.93679762788838559030
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073634	0.5512462	0.4	0.424242	0.321263	0.0551	0.93521347559101258342
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073635	0.6544019	0.15	0.181818	0.377893	0.0433	0.97163977206232661814
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073636	0.76374	0.825	0.30303	0.357746	0.0741	0.92438776949603391512
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073637	0.5507055	0.425	0.484848	0.188402	0.0234	0.96845972380055114906
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073638	0.6588958	0.025	0.242424	0.121971	0.0211	0.95434882398807878733
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073639	0.6509403	0.225	0.272727	0.216717	0.0371	0.92827935222672064777
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073640	0.9474478	0.875	0.393939	0.746529	0.5116	0.98717417794024779642
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073641	0.299566	0	0.0606061	0.0130683	0.0056	0.95213441027408198085
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073642	0.6176122	0.5	0.212121	0.253199	0.0402	0.96791954264598818363
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073643	0.4574343	0.275	0.606061	0.157365	0.0196	0.94905892234006036868
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073644	0.5520586	0	0.212121	0.111081	0.0202	0.94313390129142469510
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073645	0.2314073	0	0.0606061	0.0141574	0.0055	0.90129899505606359259
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073646	0.6006342	0.2	0.333333	0.476994	0.0509	0.94012450684333889333
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073647	0.5651956	0.475	0.151515	0.26654	0.0477	0.87421405991873566849
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073648	0.9598485	0.9	0.363636	0.698611	0.4043	0.99090157685278208996
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073649	0.8374452	0.775	0.333333	0.482984	0.0453	0.97356731848146541330
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073650	0.6649204	0.1	0.393939	0.217261	0.0379	0.92886950341340839713
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073651	0.530183	0.175	0.212121	0.480806	0.0490	0.94909376458371720977
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073652	0.6602146	0.125	0.151515	0.380071	0.0435	0.97178552549318830069
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073653	0.5872543	0.175	0.454545	0.222162	0.0393	0.93838934297355915156
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073654	0.5790844	0.05	0.333333	0.180234	0.0256	0.94863198583796821814
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073655	0.7727174	0.8	0.242424	0.690988	0.1101	0.94849268935255104482
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073656	0.1917124	0	0.0606061	0.00925674	0.0054	0.94167796938577795000
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073657	0.6108914	0.65	0.424242	0.377348	0.0737	0.92585726039395051953
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073658	0.5528927	0.325	0.151515	0.243942	0.0420	0.87589059687432021707
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073659	0.6635427	0.1	0.121212	0.161721	0.0237	0.95500863097617376834
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073660	0.7766916	0.525	0.393939	0.269534	0.0535	0.89592445249053669831
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073661	0.7238885	0.575	0.515152	0.310918	0.0500	0.96412384341959224386
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073662	0.6243321	0.25	0.333333	0.247209	0.0464	0.91986747673436270151
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073663	0.5791222	0.675	0.515152	0.463926	0.0448	0.97668198078966114988
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073664	0.6393675	0.275	0.424242	0.248843	0.0390	0.95806065345174781584
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073665	0.3679574	0.75	0.0909091	0.400218	0.0433	0.95791117302431162264
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073666	0.6062384	0.075	0.181818	0.186768	0.0272	0.94987407965807770317
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073667	0.6002884	0.325	0.636364	0.193302	0.0252	0.96618051773704436567
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073668	0.6084913	0.225	0.484848	0.205826	0.0265	0.97266379000834356177
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073669	0.5922706	0.65	0.454545	0.364824	0.0691	0.92644365285147835500
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073670	0.72668	0.85	0.575758	0.749796	0.1282	0.88184844091943698502
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073671	0.5865499	0.275	0.606061	0.180779	0.0244	0.96535692779577824795
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073672	0.5256891	0.2	0.181818	0.476994	0.0485	0.94855802611958306457
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073673	0.7507127	0.825	0.363636	0.712224	0.1214	0.97633686743889796323
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073674	0.6310809	0.75	0.484848	0.6104	0.0822	0.98792917216369842520
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073675	0.5941299	0.65	0.363636	0.467193	0.0473	0.97698140905890573559
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073676	0.5558342	0.4	0.454545	0.195481	0.0236	0.96872539026003163996
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073677	0.7625945	0.825	0.333333	0.362102	0.0750	0.92389850942395779351
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073678	0.583062	0.075	0.242424	0.182412	0.0251	0.94869992083030886306
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SRP004631	SRR073679	0.9413464	0.875	0.181818	0.742173	0.5759	0.99270451258877554113
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SUBSET	SRR073604	0.7735742	0.825	0.181818	0.692077	0.1090	0.94736190186705128895
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SUBSET	SRR073610	0.6798904	0	0.0606061	0.0228696	0.0058	0.97306358213720737848
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SUBSET	SRR073611	0.9674739	0.925	0.0606061	0.679009	0.3663	0.99584066522916382511
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SUBSET	SRR073614	0.7347712	0.85	0.545455	0.738361	0.1244	0.87741175967722955886
Methanobrevibacter_smithii_ATCC_35061	CP000678.1	SUBSET	SRR073618	0.1882596	0	0.0606061	0.0168799	0.0042	0.95712352362204724409
